,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
695,"År
2022",Rasmus Kjøller,"Beløb
DKK 48,354",Functional traits in mycorrhizal ecology,"Institution
University of Copenhagen",696,"Field Trips / Research Stays < 100,000"
696,"År
2022",Peter Gammeltoft,"Beløb
DKK 60,000","Managing sustainability, green transition, and climate change","Institution
Copenhagen Business School",697,Conferences
697,"År
2022",Tone Roald,"Beløb
DKK 60,000",Affect in dialogue. A conference in interdisciplinary phenomenology.,"Institution
University of Copenhagen",698,Conferences
698,"År
2022",Anders V. Munch,"Beløb
DKK 59,325",Design Cultures in Italy and Denmark,"Institution
University of Southern Denmark",699,Conferences
699,"År
2022",Per Freytag,"Beløb
DKK 59,500",EMAC Annual Conference 2023,"Institution
University of Southern Denmark",700,Conferences
700,"År
2022",Kasper Trolle Elmholdt,"Beløb
DKK 51,500",Expertise In and Around Organizations,"Institution
Aalborg University",701,Conferences
701,"År
2022",Julia Nafziger,"Beløb
DKK 51,865",Social Norms as Constraints for Policy Changes,"Institution
Aarhus University",702,"Field Trips / Research Stays < 100,000"
702,"År
2022",Lars Uggerhøj,"Beløb
DKK 60,000",6th International Conference on Practice Research in Social Work,"Institution
Aalborg University",703,Conferences
703,"År
2022",Alessandro Monti,"Beløb
DKK 59,000",Human Rights and Investment Law for Climate Change: Trends and Prospects,"Institution
University of Copenhagen",704,Conferences
704,"År
2022",Gorm Olsen,"Beløb
DKK 98,000",American foreign policy between the transatlantic alliance and the Indo-Pacific challenge: A European dilemma,"Institution
Roskilde University",705,"Field Trips / Research Stays < 100,000"
705,"År
2022",Dagbladet Information,"Beløb
DKK 2,476,852",Energi - fortællingen om mennesket,"Institution
Dagbladet Information",706,Strategic Grants
706,"År
2022",Kristoffer Granov,"Beløb
DKK 200,000",ATLAS og Gyldendal Småskrifter,Institution,707,Carlsberg Mindelegat
707,"År
2022",Ghita Wolf Andreasen,"Beløb
DKK 175,000",Science-rollemodeller til flere,Institution,708,Carlsberg Mindelegat
708,"År
2022",Helle Porsdam,"Beløb
DKK 75,000",Activating the right to science via citizen science,Institution,709,Carlsberg Mindelegat
709,"År
2022",Luca Guardabassi,"Beløb
DKK 56,890",International Conference on One Health Antimicrobial Resistance (ICOHAR),"Institution
University of Copenhagen",710,Conferences
710,"År
2022",Jacob Kirkensgaard,"Beløb
DKK 98,000",Exploring hyperbolic order in curved materials,"Institution
University of Copenhagen",711,"Field Trips / Research Stays < 100,000"
711,"År
2022",Thomas Kiørboe,"Beløb
DKK 60,000",Workshop: Trait based approaches to Ocean Life,"Institution
Technical University of Denmark",712,Conferences
712,"År
2022",Dean Jacobsen,"Beløb
DKK 67,000",Long-term ecological changes in streams of the Himalayan Langtang Valley,"Institution
University of Copenhagen",713,"Field Trips / Research Stays < 100,000"
713,"År
2022",Stefanie Heine,"Beløb
DKK 53,600",Defiant Terrains,"Institution
University of Copenhagen",714,Conferences
714,"År
2022",Else Roesdahl,"Beløb
DKK 180,000",Fra Vikingetid til Valdemarstid. Danmark 950-1200,"Institution
Aarhus University",715,Publication
715,"År
2022",Sara Ayres,"Beløb
DKK 40,800",Danish-British Consort Portraiture c.1600—1900,"Institution
University of Copenhagen",716,Publication
716,"År
2022",Per Hansen,"Beløb
DKK 58,000","Danske Bank og danskerne, 1871-1921","Institution
Copenhagen Business School",717,"Field Trips / Research Stays < 100,000"
717,"År
2022",Rane Willerslev,"Beløb
DKK 932,000",Danmarks Kirker,"Institution
Nationalmuseet",718,Publication
718,"År
2022",Thomas Rosendal Nielsen,"Beløb
DKK 60,000",Dimensions of Dramaturgy,"Institution
Aarhus University",719,Conferences
719,"År
2022",Magali An Berthon,"Beløb
DKK 49,760","CONFLICT: Archives, Collections and Heritage","Institution
University of Copenhagen",720,Conferences
720,"År
2022",Mette Thunø,"Beløb
DKK 99,690",China as a High-Capacity Diaspora State: Transformations and New Practices of Chinese Diasporic Media in Europe,"Institution
Aarhus University",721,"Field Trips / Research Stays < 100,000"
721,"År
2022",Darius-Aurel Frank,"Beløb
DKK 60,000",Danish Innovation Index,"Institution
Aarhus University",722,Conferences
722,"År
2022",Tina Blegind Jensen,"Beløb
DKK 55,495",International Conference on Information Systems (ICIS) 2022 Scholarship Program,"Institution
Copenhagen Business School",723,Conferences
723,"År
2022",Morten Brænder,"Beløb
DKK 56,400","Forskningsophold, Ohio State University","Institution
Aarhus University",724,"Field Trips / Research Stays < 100,000"
724,"År
2022",Helle Alsted Søndergaard,"Beløb
DKK 98,550",Measuring innovation – With a company or customer centric view?,"Institution
Aarhus University",725,"Field Trips / Research Stays < 100,000"
725,"År
2022",Det Danske Institut for Videnskab og Kunst i Rom,"Beløb
DKK 100,000",Hendes Kongelige Højhed Prinsesse Margrethes Legat til videnskabelige studier ved Det Danske Institut i Rom,Institution,726,Strategic Grants
726,"År
2022",Det Danske Institut i Rom,"Beløb
DKK 1,350,000",Dronning Ingrids Romerske Fond 2023,Institution,727,Strategic Grants
727,"År
2022",John Renner Hansen,"Beløb
DKK 60,000",Open World Conference 2022: Open Science and Global Dangers,"Institution
University of Copenhagen",728,Conferences
728,"År
2022",Videnskabernes Selskab / Royal Academy,"Beløb
DKK 13,707,000",Videnskabernes Selskabs drift i 2023,"Institution
Det Kgl. Danske Videnskabernes selskab",729,Other Grants determined by the Charter
729,"År
2022",Vinnie Nørskov,"Beløb
DKK 60,000",Contextualising Apulian Red-Figure Pottery,"Institution
Aarhus University",730,Conferences
730,"År
2022",Philipp Reick,"Beløb
DKK 60,000","Cyborg Workers: The Past, Present, and Future of Automated Labour","Institution
Aarhus University",731,Conferences
731,"År
2022",Anders Søgaard,"Beløb
DKK 138,445",Kunstig Intelligens Bagfra,"Institution
University of Copenhagen",732,Publication
732,"År
2022",Luca Maria Aiello,"Beløb
DKK 60,000",International Conference on Computational Social Science,"Institution
IT University of Denmark",733,Conferences
733,"År
2022",Marie Louise Nosch,"Beløb
DKK 3,500,000",Ind i Videnskaben,"Institution
Videnskabernes Selskab",734,Strategic Grants
734,"År
2022",Nina Koefoed,"Beløb
DKK 4,534,000",Bryggerens bagland,"Institution
Aarhus University",735,Strategic Grants
735,"År
2022",Thomas Wegener Friis,"Beløb
DKK 57,500",Need to Know: Defence Intelligence in the Cold War and Beyond,"Institution
University of Southern Denmark",736,Conferences
736,"År
2022",Henrik Borberg (Forlaget Multivers ApS),"Beløb
DKK 185,000",Brecht og danskerne,"Institution
None",737,Publication
737,"År
2022",Kirstine Haase,"Beløb
DKK 59,947",Nordic Urban Archaeology – experiences and new directions,"Institution
Aarhus University",738,Conferences
738,"År
2022",Salvatore Caserta,"Beløb
DKK 59,800",Continuity and Change in the Legal Profession,"Institution
University of Copenhagen",739,Conferences
739,"År
2022",Annette Bohn,"Beløb
DKK 54,000",To tell a life: Symposium on life story psychology in honor of Tilmann Habermas,"Institution
Aarhus University",740,Conferences
740,"År
2022",Preben Kaarsholm,"Beløb
DKK 96,000","Forskningsophold ved University of Mauritius og National Archives, Cape Town","Institution
Roskilde University",741,"Field Trips / Research Stays < 100,000"
741,"År
2022",Johan Fischer,"Beløb
DKK 100,000",Going Green Globally? Moral Economies of Vegetarianism,"Institution
Roskilde University",742,"Field Trips / Research Stays < 100,000"
742,"År
2022",Mikkel Thorhauge,"Beløb
DKK 100,000","Research stay at the Institute for Transport Economics, Oslo: Understanding user preferences for electric vehicles and charging infrastructure","Institution
Technical University of Denmark",743,"Field Trips / Research Stays < 100,000"
743,"År
2022",Mads Christian Dagnis Jensen,"Beløb
DKK 59,900",Regional Inequality and Political Discontent in Europe,"Institution
Copenhagen Business School",744,Conferences
744,"År
2022",Wen Xiang,"Beløb
DKK 60,000",16th Annual Conference of the European China Law Studies Association (ECLS),"Institution
University of Copenhagen",745,Conferences
745,"År
2022",Marja Koski,"Beløb
DKK 65,000",Copepods in the southern ocean may mean the world to carbon capture,"Institution
Technical University of Denmark",746,"Field Trips / Research Stays < 100,000"
746,"År
2022",Søren Hauberg,"Beløb
DKK 55,000",Workshop on Generative Models and Uncertainty Quantification,"Institution
Technical University of Denmark",747,Conferences
747,"År
2022",Jacopo Mauro,"Beløb
DKK 59,000",VaMoS 2023,"Institution
University of Southern Denmark",748,Conferences
748,"År
2022",Jakob Winther,"Beløb
DKK 60,000",Linderstrøm-Lang Symposium 2022: Frontiers in Protein Science,"Institution
University of Copenhagen",749,Conferences
749,"År
2022",Rikke Magnussen,"Beløb
DKK 100,000",Research stay at Stanford University,"Institution
Aalborg University",750,"Field Trips / Research Stays < 100,000"
750,"År
2022",Mads Daugbjerg,"Beløb
DKK 34,300",Field trip to Gettysburg,"Institution
Aarhus University",751,"Field Trips / Research Stays < 100,000"
751,"År
2022",Laura Nissin,"Beløb
DKK 46,590",Making sense of sensory studies,"Institution
Aarhus University",752,Conferences
752,"År
2022",Dorthe Dahl-Jensen,"Beløb
DKK 750,000",Forskningspris 2022 - forskningsbevilling,"Institution
University of Copenhagen",753,Strategic Grants
753,"År
2022",Dorthe Dahl-Jensen,"Beløb
DKK 250,000",Forskningspris 2022 - personlig bevilling,Institution,754,Strategic Grants
754,"År
2022",Frederik Stjernfelt,"Beløb
DKK 750,000",Forskningspris 2022 - forskningsbevilling,Institution,755,Strategic Grants
755,"År
2022",Frederik Stjernfelt,"Beløb
DKK 250,000",Forskningspris 2022 - personlig bevilling,Institution,756,Strategic Grants
756,"År
2022",Lara Perez,"Beløb
DKK 60,000",Northeast Greenland: Unlocking records from sea to land,"Institution
Geological Survey of Denmark and Greenland - GEUS",757,Conferences
757,"År
2022",Sandra Søgaard Tøttenborg,"Beløb
DKK 98,273",Fetal exposure to endocrine disrupting chemicals: Mixture effects on health,"Institution
Bispebjerg and Frederiksberg Hospital (Region Hovedstaden)",758,"Field Trips / Research Stays < 100,000"
758,"År
2022",Carlsbergfondet,"Beløb
DKK 40,600",Bevilling til Videnskabsåret22,Institution,759,Activity Grants
759,"År
2022",Yi Wang,"Beløb
DKK 75,000","Subnational institutions, managerial social ties, and Nordic SMEs performance in an Asian emerging market: Evidence from Danish investments in China","Institution
University of Southern Denmark",760,"Field Trips / Research Stays < 100,000"
760,"År
2022",Jesper Sørensen,"Beløb
DKK 182,457",Why Cultures Persist: Towards a Cultural Immunology,"Institution
Aarhus University",761,Publication
761,"År
2022",Kim Ryholt,"Beløb
DKK 42,000",Scientific Traditions in the Ancient Mediterranean and Near East,"Institution
University of Copenhagen",762,Publication
762,"År
2022",Graham Butler,"Beløb
DKK 57,200",Reassessing 50 Years of EU External Relations Case Law,"Institution
Aarhus University",763,Conferences
763,"År
2022",Frederic Warzynski,"Beløb
DKK 100,000",The Dynamics of Global Sourcing,"Institution
Aarhus University",764,"Field Trips / Research Stays >100,000"
764,"År
2022",Toke Fosgaard,"Beløb
DKK 98,000",Upcycled Food: Establishing behavioural economics research collaboration on motivating consumers to purchase climate-friendly upcycled food,"Institution
University of Copenhagen",765,"Field Trips / Research Stays < 100,000"
765,"År
2022",David Reimer,"Beløb
DKK 64,570","Student well-being, educational choice, and social inequality: A comparative project","Institution
Aarhus University",766,"Field Trips / Research Stays < 100,000"
766,"År
2022",Benjamin Purzycki,"Beløb
DKK 50,000",IACESR/CES 2022 Conferences,"Institution
Aarhus University",767,Conferences
767,"År
2022",Aske Damtoft Poulsen,"Beløb
DKK 60,000",The Language of Autocracy: Ancient and Modern,"Institution
Aalborg University",768,Conferences
768,"År
2022",Vivian Tos Lindgaard,"Beløb
DKK 5,000,000",Fellowship for Scholars At Risk from Ukrainian Universities (SARU),"Institution
University of Copenhagen / Scholars of Risk (SAR) - Danish section",769,Strategic Grants
769,"År
2022",Rikke Schmidt Kjærgaard,"Beløb
DKK 150,000",Mentorworkshops for frivillige gymnasieelever - Videnskabsklubben,Institution,770,Carlsberg Mindelegat
770,"År
2022",Marie Laurberg,"Beløb
DKK 150,000","Yet, it Moves! Formidling af videnskabelig forskning gennem kunstinstallationer i det offentlige rum i København",Institution,771,Carlsberg Mindelegat
771,"År
2022",Lena Trabucco,"Beløb
DKK 850,000",Autonomous Weapons and Meaningful Human Control: Legal Implications for Modern Conflicts,Institution,772,Internationalisation Fellowships
772,"År
2022",Sofie Isager Ahl,"Beløb
DKK 1,111,539",Regenerative winemaking: New and ancient practices to meet the challenges of climate change,"Institution
EHESS",773,Internationalisation Fellowships
773,"År
2022",Sarah Østrup Jensen,"Beløb
DKK 970,000",Development of a multi-modal method for ultra-sensitive detection of lung cancer in blood,"Institution
University of Cambridge",774,Internationalisation Fellowships
774,"År
2022",Carsten Ludwigsen,"Beløb
DKK 624,004",Regional Sea Level Sensitivity to Antarctic Ice Sheet Change,"Institution
University of Tasmania",775,Internationalisation Fellowships
775,"År
2022",Nikoline Sauer,"Beløb
DKK 760,000",An Archaeological Reassessment of Early Urban Rome,"Institution
University of Cambridge",776,Internationalisation Fellowships
776,"År
2022",Timo Kvamme,"Beløb
DKK 700,000",Brain basis of visual imagery revealed by big data,"Institution
University of Surrey",777,Internationalisation Fellowships
777,"År
2022",Meltem Unel,"Beløb
DKK 700,000",Scaling limits of height restricted random walks and MultiMaps,"Institution
University of Paris-Saclay",778,Internationalisation Fellowships
778,"År
2022",Johan Gøtzsche-Astrup,"Beløb
DKK 820,000",What does it mean to be a democratic subject? Studying the role of activists in the US public,"Institution
Yale University",779,Internationalisation Fellowships
779,"År
2022",Mads Engholm Jelby,"Beløb
DKK 820,000",Coastal consequences of a warming world: Utilizing climate-forced change of past polar shorelines to forecast future hazards,"Institution
University of Bergen",780,Internationalisation Fellowships
780,"År
2022",Sofie Cairo,"Beløb
DKK 485,000",Mitigating diversity barriers in growth potential and promotability of employees,"Institution
University of Pittsburgh",781,Internationalisation Fellowships
781,"År
2022",Tobias Søborg,"Beløb
DKK 700,000",The Linguistic Labyrinth of Lydian: Unraveling an Anatolian mystery,"Institution
Leiden University",782,Internationalisation Fellowships
782,"År
2022",Astrid Strunk,"Beløb
DKK 850,000",NAO in a Warming World,"Institution
Lund University",783,Internationalisation Fellowships
783,"År
2022",Özlem Has,"Beløb
DKK 820,000",Old Warriors in New Wars: A Comparative Study on Private Military Companies,"Institution
University of London",784,Internationalisation Fellowships
784,"År
2022",Herdís Guðlaug Rabølle Steinsdóttir,"Beløb
DKK 700,000",The Planktonic Microbiome of Coral Reefs: Community Structure and Function in the context of Reef Health,"Institution
Inter-University Institute for Marine Sciences in Eilat",785,Internationalisation Fellowships
785,"År
2022",Else Holmfred,"Beløb
DKK 820,000",Drug counterfeits - Identification via light element isotopic ratios and trace elemental patterns,"Institution
Stanford University",786,Internationalisation Fellowships
786,"År
2022",Asmus Rungby,"Beløb
DKK 820,000","Squaring the Circle of Southeast Asia’s Green transition - The Goals, Implementation and Challenges of Southeast Asia’s Transition to Green Energy","Institution
Yale University",787,Internationalisation Fellowships
787,"År
2022",Thomas Schwarz Wentzer,"Beløb
DKK 11,100","Philosophy, Nature, and Climate Change: Philosophical perspectives on the climate- and biodiversity crises","Institution
Aarhus University",788,Conferences
788,"År
2022",Ole G. Mouritsen,"Beløb
DKK 60,000","Symposium: Green transition by culinary science, art & craft","Institution
University of Copenhagen",789,Conferences
789,"År
2022",TIJEN TUNALI,"Beløb
DKK 60,000","Art and the City: Urban Space, Art and Social Change","Institution
Aarhus University",790,Conferences
790,"År
2022",Helle Prætorius Øhrwald,"Beløb
DKK 60,000",EuroPhysiology2022,"Institution
Aarhus University",791,Conferences
791,"År
2022",Nathalie Wahl,"Beløb
DKK 60,000","Geometry and Topology, ICM sectional workshop","Institution
University of Copenhagen",792,Conferences
792,"År
2022",Holger Schulze,"Beløb
DKK 49,500",What Sounds Do,"Institution
University of Copenhagen",793,Conferences
793,"År
2022",Joanna Lam,"Beløb
DKK 54,998",4EU+ Summer School in International Business Law,"Institution
University of Copenhagen",794,Conferences
794,"År
2022",Jaap Timmer,"Beløb
DKK 58,000",Pasts in the Making: An International Conference on Historical Awareness and Agency,"Institution
Aarhus University",795,Conferences
795,"År
2022",Joanna Lam,"Beløb
DKK 58,500",International Investment Law and Environmental Protection,"Institution
University of Copenhagen",796,Conferences
796,"År
2022",Colin Andrew Stedmon,"Beløb
DKK 91,200",Arctic Ocean Gateways: Taking the pulse of Arctic change,"Institution
Technical University of Denmark",797,"Field Trips / Research Stays < 100,000"
797,"År
2022",Henrik Bodker,"Beløb
DKK 60,000",Rethink Impact,"Institution
Aarhus University",798,Conferences
798,"År
2022",Lorenzo Cigana,"Beløb
DKK 40,000","Louis Hjelmslev on participative oppositions (Linguaggio, forma, prelogica. La teoria delle correlazioni partecipative di Hjelmslev)","Institution
University of Copenhagen",799,Publication
799,"År
2022",Mikkel Bohm,"Beløb
DKK 300,000",Science Talent Bootcamp,Institution,800,Carlsberg Mindelegat
800,"År
2022",Mikkel Bohm,"Beløb
DKK 700,000",Science Talent Forsker,Institution,801,Carlsberg Mindelegat
801,"År
2022","Glyptoteket, Gertrud Hvidberg-Hansen","Beløb
DKK 250,000",Støtte til formidlingsprogram ifm. Glyptotekets 125-års jubilæum,Institution,802,Carlsberg Mindelegat
802,"År
2022",Karen Skovgaard-Petersen /DSL,"Beløb
DKK 95,900",Afslutningen af Dansk Sproghistorie 1-6,"Institution
Det Danske Sprog- og Litteraturselskab",803,Conferences
803,"År
2022",Aske Mottelson,"Beløb
DKK 157,559",Den mageløse maskine: Nyskabende datalogisk videnskabsformidling,Institution,804,Carlsberg Mindelegat
804,"År
2022",Svante Lindeburg,"Beløb
DKK 250,000",Min dronning - et formidlingsprojekt under Golden Days Festival 2022,Institution,805,Carlsberg Mindelegat
805,"År
2022",Ungdommens Naturvidenskabelige Forening,"Beløb
DKK 250,000",UNF ScienceCamps 2022-2024,Institution,806,Carlsberg Mindelegat
806,"År
2022",Lisa B. Frankel,"Beløb
DKK 59,940","5th annual NAS conference: Autophagy mechanisms, physiology and beyond","Institution
Danish Cancer Society Research Center",807,Conferences
807,"År
2022",Jacob Torfing,"Beløb
DKK 60,000",International Public Administration Conference: Strategic Management of the Public Sector in Turbulent Times,"Institution
Roskilde University",808,Conferences
808,"År
2022",Cornelia Baciu,"Beløb
DKK 59,717",Ewiger Frieden or Victor's Peace? Multinational Military Operations Post-Cold War,"Institution
University of Copenhagen",809,Conferences
809,"År
2022",Carlsbergfondet,"Beløb
DKK 4,200,000",Carlsberg Akademi 2022,"Institution
Carlsbergfondet",810,Activity Grants
810,"År
2022",Silvia Tolu,"Beløb
DKK 23,100",NeuroScientist Gina Rippon to visit DTU,"Institution
Technical University of Denmark",811,Conferences
811,"År
2022",Peter Bonde Jensen,"Beløb
DKK 22,500","Illustrated keys to North-Western European species of Microterys Thomson and Western European species of Discodes Förster (Hymenoptera, Encyrtidae), natural enemies of soft scale insects","Institution
Aarhus University",812,"Field Trips / Research Stays < 100,000"
812,"År
2022",Mikkel N. Lund,"Beløb
DKK 60,000",Fundamental stellar parameters from asteroseismology in the era of Gaia,"Institution
Aarhus University",813,Conferences
813,"År
2022",Andrea Bianchi,"Beløb
DKK 60,000",Young Topologists Meeting 2022,"Institution
University of Copenhagen",814,Conferences
814,"År
2022",Corina Ciobotaru,"Beløb
DKK 58,000",Building(s) in Aarhus,"Institution
Aarhus University",815,Conferences
815,"År
2022",Mette Marie Rosenkilde,"Beløb
DKK 37,500",The 10th Adhesion-GPCR Workshop 2020/22,"Institution
University of Copenhagen",816,Conferences
816,"År
2022",Clara Neupert-Wentz,"Beløb
DKK 60,000",International Peace and Conflict Studies Methods Workshop,"Institution
Aarhus University",817,Conferences
817,"År
2022",Ann-Louise Holten,"Beløb
DKK 99,458",Leadership and leadership development in a psychological perspective,"Institution
University of Copenhagen",818,"Field Trips / Research Stays < 100,000"
818,"År
2022",Dorte Caswell,"Beløb
DKK 60,000",4th Street-level Bureacracy Conference,"Institution
Aalborg University",819,Conferences
819,"År
2022",John Thøgersen,"Beløb
DKK 60,000",The International Conference on Environmental Psychology ICEP 2023,"Institution
Aarhus University",820,Conferences
820,"År
2022",Kristian Cedervall Lauta,"Beløb
DKK 60,000",NEEDS - North European Emergency and Disaster Studies,"Institution
University of Copenhagen",821,Conferences
821,"År
2022",Hjalte Frellesvig,"Beløb
DKK 60,000",Jumpstarting Elliptic Bootstrap Methods for Scattering Amplitudes,"Institution
University of Copenhagen",822,Conferences
822,"År
2022",Julia Steding,"Beløb
DKK 58,000",Invisible Circularity from the Roman Period to the Middle Ages,"Institution
Aarhus University",823,Conferences
823,"År
2022",Hanne Marie Motzfeldt,"Beløb
DKK 76,000",Artificial intelligence as a citizen monitoring tool: A Danish-Dutch legal analysis of the AIA (AICompare),"Institution
University of Copenhagen",824,"Field Trips / Research Stays < 100,000"
824,"År
2022",Kirstine Sinclair,"Beløb
DKK 58,500",The Role of Islam in Modern Muslim State-Making,"Institution
University of Southern Denmark",825,Conferences
825,"År
2022",Ella Fegitz,"Beløb
DKK 59,900",Still Aged By Culture? Current Trends in Cultural Gerontology,"Institution
University of Southern Denmark",826,Conferences
826,"År
2022",Janne Liburd,"Beløb
DKK 30,000","Research Stay at Newnham College, Cambridge University","Institution
University of Southern Denmark",827,"Field Trips / Research Stays < 100,000"
827,"År
2022",Anders Villadsen,"Beløb
DKK 59,177",Employee Diversity and Representation of Minorities in the Public Sector,"Institution
Aarhus University",828,"Field Trips / Research Stays < 100,000"
828,"År
2022",Matthias Heymann,"Beløb
DKK 60,000","The 10th Tensions of Europe Conference: Technology, Environment and Resources","Institution
Aarhus University",829,Conferences
829,"År
2022",Lars Tønder,"Beløb
DKK 22,660",Field Philosophy and Ethnographic Political Theory as Ecological Ways of Thinking,"Institution
University of Copenhagen",830,Conferences
830,"År
2022",Alexey Solodovnikov,"Beløb
DKK 80,744",Life-Stage Associations of Extreme Paedomorphic Beetles Using MinION Barcodes in Puerto Rico,"Institution
University of Copenhagen",831,"Field Trips / Research Stays < 100,000"
831,"År
2022",Joao Manuel Mendonca,"Beløb
DKK 65,000",Building a New Generation of Planetary Climate Models,"Institution
Technical University of Denmark",832,"Field Trips / Research Stays < 100,000"
832,"År
2022",Tine Fasmer Hansen,"Beløb
DKK 250,000","The great, unknown Dane: Around the world for 900 days","Institution
None",833,Publication
833,"År
2022",Jens Holbech,"Beløb
DKK 2,000,000",Livestreaming af Offentlige Foredrag,"Institution
Aarhus University",834,Strategic Grants
834,"År
2022",Nils Joakim Kaas Færgeman,"Beløb
DKK 45,000",Nordic Metabolomics Conference 2022,"Institution
University of Southern Denmark",835,Conferences
835,"År
2022",Lene Schøsler,"Beløb
DKK 15,000",Internationale Romanistkongres,"Institution
University of Copenhagen",836,"Field Trips / Research Stays < 100,000"
836,"År
2022",Lavinia Cerioni,"Beløb
DKK 41,600",11th Nordic Patristic Meeting,"Institution
Aarhus University",837,Conferences
837,"År
2022",Iwona Janicka,"Beløb
DKK 57,400","Earth Sensations. Affects, sensibilities and attachments in the time of climate change","Institution
Aarhus University",838,Conferences
838,"År
2022",Anders Rasmussen,"Beløb
DKK 49,000","Romanticism Today: Realism, Nature, and Existence in Romantic Philosophy","Institution
Aarhus University",839,Conferences
839,"År
2022",Jens Seeberg,"Beløb
DKK 60,000",Developing research infrastructure for vulnerability assessment in pandemic crises,"Institution
Aarhus University",840,Conferences
840,"År
2022",Christian Hirsch,"Beløb
DKK 44,500",Øresund Summer School on Topological Data Analysis and Spatial Statistics,"Institution
Aarhus University",841,Conferences
841,"År
2022",laura Parolin,"Beløb
DKK 93,000",The aesthetic dimension of care,"Institution
University of Southern Denmark",842,"Field Trips / Research Stays < 100,000"
842,"År
2022",Jan Andersen,"Beløb
DKK 0",TEST FORBINDELSE DRIFT -,"Institution
Technical University of Denmark",843,Conferences
843,"År
2022",Ole G. Mouritsen,"Beløb
DKK 425,000",Gastrophysics of taste as a driver for a green transition,"Institution
University of Copenhagen",844,Strategic Grants
844,"År
2022",Jacob Ørmen,"Beløb
DKK 60,000",The Political Economy of Digital Markets,"Institution
University of Copenhagen",845,Conferences
845,"År
2022",Johanne Gormsen Schmidt,"Beløb
DKK 22,000",Conference: New Perspectives on the Sociology of Literature in Scandinavia,"Institution
University of Copenhagen",846,Conferences
846,"År
2022",Veronika Fikfak,"Beløb
DKK 60,000",Rethinking Compliance in International Law,"Institution
University of Copenhagen",847,Conferences
847,"År
2022",Jesper Juul,"Beløb
DKK 96,000","The Last Democratic Computer - A historical study of the end of the home computer era, and the end of computational literacy","Institution
Royal Danish Academy - Architecture, Design, Conservation",848,"Field Trips / Research Stays < 100,000"
848,"År
2022",Somdeep Sen,"Beløb
DKK 99,750",Building Up. The Global Politics of Vertical Urbanism,"Institution
Roskilde University",849,"Field Trips / Research Stays < 100,000"
849,"År
2022",Sune Olander Rasmussen,"Beløb
DKK 500,000",The Willi Dansgaard centenary symposium on abrupt climate change,"Institution
University of Copenhagen",850,Strategic Grants
850,"År
2022",Eva Rotenberg,"Beløb
DKK 4,944,663",Graph Algorithms with Geometric Applications,"Institution
Technical University of Denmark",851,Semper Ardens: Accelerate
851,"År
2021",Carlsbergfondet,"Beløb
DKK 165,000,000",Pionercentre,Institution,852,Strategic Grants
852,"År
2021",Jane Bjørn Vedel,"Beløb
DKK 4,936,026",The implications of large-scale grants for the university as an institutionalized organization,"Institution
Copenhagen Business School",853,Semper Ardens: Accelerate
853,"År
2021",Mikkel Terp,"Beløb
DKK 475,000",A novel RNAi therapeutic for the treatment of combined B-Raf and MEK inhibitor resistant melanoma,"Institution
University of Southern Denmark",854,Research Infrastructure
854,"År
2021",Jesper Majbom Madsen,"Beløb
DKK 793,000",Freedom from Democracy and Ideal Monarchical rule in Cassius Dio's Roman History,"Institution
University of Southern Denmark",855,Monograph Fellowships
855,"År
2021",Jasmin Matz,"Beløb
DKK 3,429,146",Density and approximation in automorphic families,"Institution
University of Copenhagen",856,Semper Ardens: Accelerate
856,"År
2021",Morten Frederiksen,"Beløb
DKK 831,527","Just and Unjust Worlds: The Meaning of Social Justice in China, USA and Scandinavia","Institution
Aalborg University",857,Monograph Fellowships
857,"År
2021",Tobias Gehring,"Beløb
DKK 4,999,283",Multi-Partite Quantum Communication with Squeezed Light,"Institution
Technical University of Denmark",858,Semper Ardens: Accelerate
858,"År
2021",Juliane Engelhardt,"Beløb
DKK 719,362","Feminine Christianity and Public Protest in Radical Pietism, 1690 - 1750.","Institution
University of Copenhagen",859,Monograph Fellowships
859,"År
2021",Gerd Michael Seibold,"Beløb
DKK 599,995",Bridging bacterial population and single cell physiology - Acquirement of a fluorescence microscope enabling in-depth insights into bacterial adaptations,"Institution
Technical University of Denmark",860,Research Infrastructure
860,"År
2021",Kristian Knakkergaard Nielsen,"Beløb
DKK 972,610",Dynamics of Doped Quantum Magnets,"Institution
Max Planck Institute of Quantum Optics, Garching bei München, Germany",861,Internationalisation Fellowships
861,"År
2021",Johan Peter Uldall Fynbo,"Beløb
DKK 592,373",NOT Transient Explorer: Eksploderende stjerner og gigantiske sorte huller i Universet,"Institution
University of Copenhagen",862,Research Infrastructure
862,"År
2021",Johan Fischer,"Beløb
DKK 722,694",Going Green Globally? Moral Economies of Vegetarianism,"Institution
Roskilde University",863,Monograph Fellowships
863,"År
2021",Niels Ploug,"Beløb
DKK 10,000,000",Danmarks Datavindue,"Institution
Statistics Denmark",864,Research Infrastructure
864,"År
2021",Tone Roald,"Beløb
DKK 691,528",Affective variations. A phenomenological investigation into visual art experiences.,"Institution
University of Copenhagen",865,Monograph Fellowships
865,"År
2021",Nikos CHatzakis,"Beløb
DKK 196,000","Single molecule sequencing of oligosaccharides, SingleCarb","Institution
University of Copenhagen",866,Research Infrastructure
866,"År
2021",Per Hansen,"Beløb
DKK 1,100,280",Danske Bank og danskerne 1871-2021,"Institution
Copenhagen Business School",867,Monograph Fellowships
