Year,Reciever,Grant size (DKK),Description,Translated Description,Country
2020,The Brookings Institution,3143450,"To consider the rapidly changing context of unprecedented school closures in response to COVID -19 and to generate and translate novel evidence into actionable guidance on parent demand in Botswana, Canada, Colombia, Ghana, India, South Africa, UK and US .","To consider the rapidly changing context of unprecedented school closures in response to COVID -19 and to generate and translate novel evidence into actionable guidance on parent demand in Botswana, Canada, Colombia, Ghana, India, South Africa, UK and US .",UNITED STATES
2020,Sesame,13635800,"Sesame Workshop will develop short -form content for digital distribution. Child-facing content will feature topics such as healthy habits, getting active, maintaining learning and growing at home through everyday routines and activities globally.","Sesame Workshop will develop short -form content for digital distribution. Child-facing content will feature topics such as healthy habits, getting active, maintaining learning and growing at home through everyday routines and activities globally.",UNITED STATES
2020,Teach 4 all Mexicu,5760244,This grant builds the capacity of public ECD centre practitioners across the country to implement learning through play approaches in their daily practice and training a new generation of early childhood experts and advocates.,This grant builds the capacity of public ECD centre practitioners across the country to implement learning through play approaches in their daily practice and training a new generation of early childhood experts and advocates.,MEXICO
2020,Sesame (Mexico),2122460,"Following a successful pilot , which promoted Learning through Play (LtP) with caregivers, educators and educational authorities in Mexico, this new grant ’s ambition is to significantly increase the number of ECD practitioners implementing permanently LtP in their learning environments every day .","Following a successful pilot , which promoted Learning through Play (LtP) with caregivers, educators and educational authorities in Mexico, this new grant ’s ambition is to significantly increase the number of ECD practitioners implementing permanently LtP in their learning environments every day .",UNITED STATES
2020,Scratch Foundation,669430,"To provide access to Scratch and accompanying tutorials in Mexico will open up new opportunities for children to learn to express themselves creatively with technology and provide the potential to share their creations with their families, friends, and others around the world.","To provide access to Scratch and accompanying tutorials in Mexico will open up new opportunities for children to learn to express themselves creatively with technology and provide the potential to share their creations with their families, friends, and others around the world.",UNITED STATES
2020,UNICEF ,8272399,The grant aims to support the delivery of schoolbased in -service teacher professional development to enable teachers to use playful pedagogies in classroom instruction (Rwanda),The grant aims to support the delivery of schoolbased in -service teacher professional development to enable teachers to use playful pedagogies in classroom instruction (Rwanda),UNITED STATES
2020,Trustees of Boston College,5574983,"The project is designed to situate, strengthen, and scale a play-based home-visiting intervention to improve the physical and cognitive development of children aged birth to three throughout Rwanda.","The project is designed to situate, strengthen, and scale a play-based home-visiting intervention to improve the physical and cognitive development of children aged birth to three throughout Rwanda.",UNITED STATES
2020,Sesame Takalani,17448669,"This project implemented in South Africa contains two components: advocating for learning through play through a mass media campaign targeting parents , and building the capacity of caregivers , practitioners (e.g. social workers , educators ) and public officials to promote LtP through community engagement.","This project implemented in South Africa contains two components: advocating for learning through play through a mass media campaign targeting parents , and building the capacity of caregivers , practitioners (e.g. social workers , educators ) and public officials to promote LtP through community engagement.",UNITED STATES
2020,TREE,2023000,"TREE focuses on training women who are influential in a child's life, a teacher, mother, caregiver or guardian, with improved skills to engage with children and educate them through play with limited available resource in South Africa.","TREE focuses on training women who are influential in a child's life, a teacher, mother, caregiver or guardian, with improved skills to engage with children and educate them through play with limited available resource in South Africa.",SOUTH AFRICA
2020,Teacher Connect SA,3566289,This project aims to significantly change the South African landscape by empowering teachers to teach using Active Learning Pedagogies enhanced by the TeacherConnect platform that can reach every teacher in the South Africa.,This project aims to significantly change the South African landscape by empowering teachers to teach using Active Learning Pedagogies enhanced by the TeacherConnect platform that can reach every teacher in the South Africa.,SOUTH AFRICA
2020,UNICEF,5632232,"This grant laid the foundations for integrating learning through play in government policies, ECD curricula and programmes.","This grant laid the foundations for integrating learning through play in government policies, ECD curricula and programmes.",UNITED STATES
2020,University of Oxford,1885348,"The University of Oxford and Parenting for Lifelong Health brought together a coalition consisting of the WHO, UNICEF, the Global Partnership to End Violence Against Children, USAID and the US Centers for Disease Control and Prevention to develop a set of open -source COVID -19 parenting resource sheets . (South Africa, Uganda, Tanzania, Bangladesh, India, Phili ppines, Thailand, Malaysia, Ukraine, Kyrgyzstan, Montenegro, Paraguay, Brazil, Colombia, Mexico, Jordan).","The University of Oxford and Parenting for Lifelong Health brought together a coalition consisting of the WHO, UNICEF, the Global Partnership to End Violence Against Children, USAID and the US Centers for Disease Control and Prevention to develop a set of open -source COVID -19 parenting resource sheets . (South Africa, Uganda, Tanzania, Bangladesh, India, Phili ppines, Thailand, Malaysia, Ukraine, Kyrgyzstan, Montenegro, Paraguay, Brazil, Colombia, Mexico, Jordan).",UNITED KINGDOM
2020,University of Oxford,4420266,Follow -up on initial successes by continuing to strengthen the innovative ways of supporting families throughout the remainder of the COVID -19 emergency and beyond,Follow -up on initial successes by continuing to strengthen the innovative ways of supporting families throughout the remainder of the COVID -19 emergency and beyond,UNITED KINGDOM
2020,Stellenbosch University,1850289,"The project will leverage mobile phone technology to deliver a digital intervention to parents with young children aged 2 -5 to promote parental sensitivity, responsiveness and mental health, and child social, emotional and cognitive development in Tanzania, Uganda and Zambia.","The project will leverage mobile phone technology to deliver a digital intervention to parents with young children aged 2 -5 to promote parental sensitivity, responsiveness and mental health, and child social, emotional and cognitive development in Tanzania, Uganda and Zambia.",SOUTH AFRICA
2020,The Australian Counsil for Educational Research,2910914,"The Learning through Play at School Research Study is designed to support a targeted number of schools and teachers in Ukraine to implement quality LtP/integrated pedagogies by exploring how the model for learning though play at school applies in low and low to middle income country contexts, and which enabling factors are key, and in what sequence, or combination.","The Learning through Play at School Research Study is designed to support a targeted number of schools and teachers in Ukraine to implement quality LtP/integrated pedagogies by exploring how the model for learning though play at school applies in low and low to middle income country contexts, and which enabling factors are key, and in what sequence,  or combination.",AUSTRALIA
2020,Tufts University,3104937,"The grant aims to develop customized ways of bringing robotics and STE(A)M skills to public school student ages 6 -12 in an authentic, playful way.","The grant aims to develop customized ways of bringing robotics and STE(A)M skills to public school student ages 6 -12 in an authentic, playful way.",UNITED STATES
2020,Tools of the Mind,6179415,"Tools of the Mind are piloting a proof of concept Learn@Home approach that includes digital and print resources, teacher parent micro -coaching, and effortless sharing of data between home and school to provide a cohesive playful learning experience in and beyond times of school disruption .","Tools of the Mind are piloting a proof of concept Learn@Home approach that includes digital and print resources, teacher parent micro -coaching, and effortless sharing of data between home and school to provide a cohesive playful learning experience in and beyond times of school disruption .",UNITED STATES
2020,VVOB - education for development,6956755,"To support VVOB’s response to new issues and opportunities in primary school children’s learning that have emerged due to COVID 19 in three countries: Vietnam, Zambia, and South Africa.","To support VVOB’s response to new issues and opportunities in primary school children’s learning that have emerged due to COVID 19 in three countries: Vietnam, Zambia, and South Africa.",BELGIUM
2021,UNICEF,44320000,ECW continued response to COVID-19,ECW continued response to COVID-19,UNITED STATES
2021,UNICEF,19892000,Supporting children in Afghanistan and Haiti in times of crisis,Supporting children in Afghanistan and Haiti in times of crisis,DENMARK
2021,University College Lillebælt,186000,Relate to Facilitate,Relate to Facilitate,DENMARK
2021,University College Copenhagen,25000000,Playful Learning Transition Development Systems,Playful Learning Transition Development Systems,DENMARK
2021,University College Copenhagen,4927000,Digital Learning through Play,Digital Learning through Play,DENMARK
2021,University College Copenhagen,6495000,Play@Heart in School,Play@Heart in School,DENMARK
2021,University College Copenhagen,17300000,Play Time,Play Time,DENMARK
2021,World Economic Forum,4776000,Accelerating Education 4.0,Accelerating Education 4.0,SWITZERLAND
2021,War Child Holland,2975000,Enfolded Education,Enfolded Education,NETHERLANDS
2021,UN Global Compact,19892000,The Impactful Five (i5): Learning in Leadership Education,The Impactful Five (i5): Learning in Leadership Education,UNITED STATES
2021,The Scratch Foundation,69997000,Scratch Accelerator by Scratch Foundation,Scratch Accelerator by Scratch Foundation,UNITED STATES
2021,"The Chancellor, Masters & Scholars of the University of Oxford",1877000,COVID-19 Playful Parenting Response,COVID-19 Playful Parenting Response,UNITED KINGDOM
2021,World Vision,26271000,Playful Foundations,Playful Foundations,UNITED STATES
2021,World Vision,18416000,Inclusive Playful Parenting for a Brighter Childhood,Inclusive Playful Parenting for a Brighter Childhood,UNITED STATES
2021,The World Bank,58903000,Strengthening Learning through Play in Early Childhood Development Systems,Strengthening Learning through Play in Early Childhood Development Systems,UNITED STATES
2021,The World Bank,63881000,Strengthening holistic teaching and learning,Strengthening holistic teaching and learning,UNITED STATES
2021,The World Bank,19634000,Strengthening Learning through Play in Early Childhood Development Systems,Strengthening Learning through Play in Early Childhood Development Systems,UNITED STATES
2021,The World Bank,9515000,Global Partnership for Education,Global Partnership for Education,UNITED STATES
2021,The World Bank,101444000,Strengthening Learning through Play in Early Childhood Development Systems,Strengthening Learning through Play in Early Childhood Development Systems,UNITED STATES
2021,The World Bank,9515000,Global Partnership for Education – Knowledge and Innovation Exchange Program,Global Partnership for Education – Knowledge and Innovation Exchange Program,UNITED STATES
2021,The World Bank,96144000,Global Partnership for Education - COVID-19 funding,Global Partnership for Education - COVID-19 funding,UNITED STATES
2021,The Global Fund for Children,32724000,Partnership to Educate All Kids,Partnership to Educate All Kids,UNITED STATES
2021,The Brookings Institution,9073000,Brookings 2.5 – Big Push,Brookings 2.5 – Big Push,UNITED STATES
2021,Sesame Workshop,16928000,Teaching Smarter: Pre-Primary Teacher Professional Development for Sustainable Recovery during COVID-19,Teaching Smarter: Pre-Primary Teacher Professional Development for Sustainable Recovery during COVID-19,UNITED STATES
2021,University of Notre Dame,15793000,"Leveraging the home, school, and church to address early childhood development in Haiti","Leveraging the home, school, and church to address early childhood development in Haiti",UNITED STATES
2021,Zizi Afrique,32724000,Young Alive,Young Alive,KENYA
2021,UNICEF,439852000,Supporting children’s access to the COVID-19 Tools Accelerator,Supporting children’s access to the COVID-19 Tools Accelerator,DENMARK
2021,VSO International,25455000,Let’s Learn Through Play,Let’s Learn Through Play,UNITED KINGDOM
2021,Trustees of Boston College,3172000,Promote early childhood development and prevent violence in Rwanda,Promote early childhood development and prevent violence in Rwanda,UNITED STATES
2021,UNICEF,4735000,Essential Support to ECD centres and services in South Africa,Essential Support to ECD centres and services in South Africa,DENMARK
2021,TREE,1288000,Essential Support to ECD training centre and ECD services in South Africa,Essential Support to ECD training centre and ECD services in South Africa,SOUTH AFRICA
2021,University of Oxford,108317000,Global Parenting Initiative,Global Parenting Initiative,UNITED KINGDOM
2021,VVOB - education for development,5196000,TaRL(+) @ play,TaRL(+) @ play,BELGIUM
2021,Street Child,3001000,Ladder to learning,Ladder to learning,UNITED KINGDOM
2021,Tufts University,17874000,Supporting and Amplifying Local Organizations engaged in Playful Engineering-Based Learning Post-COVID,Supporting and Amplifying Local Organizations engaged in Playful Engineering-Based Learning Post-COVID,UNITED STATES
2021,VVOB – education for development,12631000,Strengthening Learning through Play via scaling in Zambia,Strengthening Learning through Play via scaling in Zambia,BELGIUM
2021,VVOB - education for development,24772000,ITS PLAY – Improving Teaching Skills on Playful Learning for Africa’s Youngest,ITS PLAY – Improving Teaching Skills on Playful Learning for Africa’s Youngest,BELGIUM
2021,VVOB - education for development,22313000,Strengthening blended learning approaches with teachers and school leaders,Strengthening blended learning approaches with teachers and school leaders,BELGIUM
2022,University of Copenhagen ,6729000,The Playful Learning in Infancy Program: Research and development,The Playful Learning in Infancy Program: Research and development,DENMARK
2022,University College Copenhagen,100000000,Paths to Playful Learning,Paths to Playful Learning,DENMARK
2022,UNICEF,8975000,UN Girls’ Education Initiative (UNGEI) 2022,UN Girls' Education Initiative (UNGEI) 2022,UNITED STATES
2022,UNESCO ,1638000,LEGO Foundation contribution to the WCECCE ,LEGO Foundation contribution to the WCECCE,FRANCE
2022,Ubongo International,200000000,Akili Family: Localized Play-Based Learning for African Families & Communi-ties,Akili Family: Localized Play-Based Learning for African Families & Communi-ties,TANZANIA
2022,Ubongo International,7400000,Capacity & Planning – Akili Family: Localized Play-Based Learning for African Families & Communities,Capacity & Planning – Akili Family: Localized Play-Based Learning for African Families & Communities,TANZANIA
2022,The Brookings Institution,169848000,The CUE Knowing-Doing Network: Building Evidence and Local Leadership to Advance Systems Transformation for Breadth of Skills,The CUE Knowing-Doing Network: Building Evidence and Local Leadership to Advance Systems Transformation for Breadth of Skills,UNITED STATES
2022,WonderTree ,4059000,Play for All ,Play for All,PAKISTAN
2022,UNICEF,51459000,Advocacy Partnership on Parenting ,Advocacy Partnership on Parenting,SWITZERLAND 
2022,UNICEF ,19834000,An Enabling Environment for the Institutionalization of Learning through Play in Pre-primary Education in Rwanda ,An Enabling Environment for the Institutionalization of Learning through Play in Pre-primary Education in Rwanda,DENMARK
2022,Trustees of Boston College ,2170000,PLAY Collaborative: Testing an Implementation Strategy for Scaling Out Evidence-Based ECD Home-Visiting in Rwanda,PLAY Collaborative: Testing an Implementation Strategy for Scaling Out Evidence-Based ECD Home-Visiting in Rwanda,UNITED STATES
2022,VVOB - education for development,63440000,ECD Practitioner professionalisation on Learning through Play,ECD Practitioner professionalisation on Learning through Play,BELGIUM
2022,University of Johannesburg,887000,Mentorship & Accelerator Grant for the University of Johannesburg Teacher Creative Coding Club Program,Mentorship & Accelerator Grant for the University of Johannesburg Teacher Creative Coding Club Program,SOUTH AFRICA
2022,TREE,6579000,TREE emergency response: Kwa-Zulu Natal flooding ,TREE emergency response: Kwa-Zulu Natal flooding,SOUTH AFRICA
2022,UNICEF,51786000,Supporting Ukrainian young children and their families across host countries,Supporting Ukrainian young children and their families across host countries,SWITZERLAND
2022,UNICEF,25000000,UNICEF emergency response in Ukraine,UNICEF emergency response in Ukraine,SWITZERLAND
2022,"Social Cipher, Inc.",4715000,Play for All,Play for All,UNITED STATES
2022,Temple University ,148457000,Learning through Play: Reimagining PreK to Grade 4 Education,Learning through Play: Reimagining PreK to Grade 4 Education,UNITED STATES
2022,VVOB - education for development,45219000,Catch Up Zambia! Sustaining and Scaling,Catch Up Zambia! Sustaining and Scaling,BELGIUM
2022,World Health Organization ,35547000,Supporting scale up of evidence-based parenting a interventions through health and allied sectors ,Supporting scale up of evidence-based parenting a interventions through health and allied sectors,SWITZERLAND
2021,Scratch Foundation,31255000,COVID Recovery and LtP through Scratch,COVID Recovery and LtP through Scratch,UNITED STATES
2021,Save the Children ,35435000,National Systems Campaigns (UK),National Systems Campaigns (UK),UNITED KINGDOM
2022,Save the Children,127141000,Access to Quality Early Childhood Care and Education in Emergencies in Ethiopia Activity,Access to Quality Early Childhood Care and Education in Emergencies in Ethiopia Activity,UNITED STATES
2022,Save the Children Denmark,25000000,Keeping well-being and playful safe learning for children affected by the conflict in Ukraine at the center,Keeping well-being and playful safe learning for children affected by the conflict in Ukraine at the center,DENMARK
2021,Save the Children Denmark,4849000,"A Framework to Integrate, Scale-up and Sustain Playful Parenting in Health Systems","A Framework to Integrate, Scale-up and Sustain Playful Parenting in Health Systems",DENMARK
2021,Save the Children Denmark,24950000,Accelerating children’s learning through play amidst the pandemic,Accelerating children’s learning through play amidst the pandemic,DENMARK
2020,Save the Children ,3804750,"This grant builds on activities and structures that are already in place and supported by the LEGO Foundation in Bhutan, Nepal, and Bangladesh .","This grant builds on activities and structures that are already in place and supported by the LEGO Foundation in Bhutan, Nepal, and Bangladesh .",DENMARK
2020,Save the Children ,807238,"To support children most in need in Bangladesh, Nepal and Bhutan by ensuring that they have access to learning through play opportunities, helping to support the development of life -long skills in the midst of a health crisis that has put unforeseen stresses on health and education systems and on family life.","To support children most in need in Bangladesh, Nepal and Bhutan by ensuring that they have access to learning through play opportunities, helping to support the development of life -long skills in the midst of a health crisis that has put unforeseen stresses on health and education systems and on family life.",UNITED KINGDOM
2022,Salzburg Global Seminar Inc,374000,Education Futures: Shaping A New Education Story,Education Futures: Shaping A New Education Story,AUSTRIA
2020,Rutgers,1458379,"This grant is focused on researching how early educators become facilitators of learning through play with children aged 4 -5. The study will follow 200 early educators in Colombia who will take part in professional development. In order to gain a cross-cultural understanding of educator change, this study in Colombia is twinned with a separately funded, but similar study in Denmark.","This grant is focused on researching how early educators become facilitators of learning through play with children aged 4 -5. The study will follow 200 early educators in Colombia who will take part in professional development. In order to gain a cross-cultural understanding of educator change, this study in Colombia is twinned with a separately funded, but similar study in Denmark.",UNITED STATES
2021,Rockefeller Philanthropy Advisors,4691000,"Education Commission 2: inclusive, engaging, adaptive","Education Commission 2: inclusive, engaging, adaptive",UNITED STATES
2020,Rockefeller Philanthropy ,1664200,"All the main education multilaterals (Education Commission, ECW, GPE, UNICEF, UNESCO, World Bank) along with Save the Children have come together to form a ‘hub’ to launch an advocacy and action campaign on behalf of children who are calling to #SaveourFuture.","All the main education multilaterals (Education Commission, ECW, GPE, UNICEF, UNESCO, World Bank) along with Save the Children have come together to form a ‘hub’ to launch an advocacy and action campaign on behalf of children who are calling to #SaveourFuture.",UNITED STATES
2021,Robotix Foundation,4553000,Project Based Learning trainings for Mexican teachers,Project Based Learning trainings for Mexican teachers,MEXICO
2020,Right to Play (Rwanda),4194276,"Aga Khan Foundation The Courtyard, General Mathenge Drive teachers using an approach in the classroom that incorporates learning through play with technology.","Aga Khan Foundation The Courtyard, General Mathenge Drive teachers using an approach in the classroom that incorporates learning through play with technology.",CANADA
2020,Right to Play (Ghana),8324042,The grant aims to integrate Learning through Play into Ghana’s in-service teacher training and development system building on existing play-based teacher training materials developed by the partner.,The grant aims to integrate Learning through Play into Ghana’s in-service teacher training and development system building on existing play-based teacher training materials developed by the partner.,CANADA
2020,Right to Play,10229695,"New ways to support children to process the effects of the crisis, and ensure health, hygiene and psychosocial wellbeing is integrated as a part of the curriculum in Ghana, Mali, Ethiopia, Tanzania, Uganda, Rwanda, Mozambique , Palestine, Lebanon, Jordan, Pakistan and Thailand .","New ways to support children to process the effects of the crisis, and ensure health, hygiene and psychosocial wellbeing is integrated as a part of the curriculum in Ghana, Mali, Ethiopia, Tanzania, Uganda, Rwanda, Mozambique , Palestine, Lebanon, Jordan, Pakistan and Thailand .",CANADA
2021,Right to Play,16210000,MOOC First Development Cycle,MOOC First Development Cycle,CANADA
2021,Right To Play,31025000,Building Back Better: COVID-19 response and recovery for children’s education and well-being,Building Back Better: COVID-19 response and recovery for children’s education and well-being,CANADA
2022,Program for Appropriate Technology in Health (PATH) ,11115000,Building the Global Initiative to Support Parents ,Building the Global Initiative to Support Parents,UNITED STATES
2021,President and Fellows of Harvard,19029000,Translating evidence to generate buy-in for LtP in Early Childhood,Translating evidence to generate buy-in for LtP in Early Childhood,UNITED STATES
2021,President and Fellows of Harvard,12686000,Translating evidence to generate buy-in for LtP in Early Childhood,Translating evidence to generate buy-in for LtP in Early Childhood,UNITED STATES
2021,PowerMyLearning,9817000,Power Children’s Learning Through Play,Power Children’s Learning Through Play,UNITED STATES
