Year,Reciever,Grant size (DKK),Description,Translated Description,Project Category
2024, Den Frie Udstilling,"1,1 mio. kr.",Supplerende støtte til foyer- og forpladsprojekt - Den Frie Udstillingsbygning,Supplementary support for foyer and forecourt project - Den Frie Centre of Contemporary Art, Kultur og samfund Andre projekter
2024, Deutsche Stiftung Denkmalschutz,21 mio. kr.,"Kaiser Wilhelm Memorial Church, Berlin","Kaiser Wilhelm Memorial Church, Berlin", Kultur og samfund Andre projekter
2024, Odense Zoo,2 mio. kr.,Fantastiske Asien i Odense Zoo,Amazing Asia at Odense Zoo, Kultur og samfund Andre projekter
2024, Rasmus Rask Skolen,26.190 kr.,Programmerings-forståelse,Programming understanding," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Dybbøl-Skolen,33.065 kr.,Undersøgelser og observationer af dyre- og planteliv,Studies and observations of animal and plant life," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Allerød Kommune,57.537 kr.,Forsøg med planter i det udendørs plantelaboratorium,Experiments with plants in the outdoor plant laboratory," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Frederikshavn Kommune,79.045 kr.,Stråling og livets udvikling,Radiation and the evolution of life," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Lejre Kommune,30.294 kr.,Projekt Fremtiden,Project Future," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Jammerbugt Kommune,67.977 kr.,Vejr og Klima,Weather and Climate," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Silkeborg Kommune,36.976 kr.,"Kroppen, Teknologiforståelse og Vedvarende energi","The body, technology literacy and renewable energy"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aalborg Kommune,45.492 kr.,Stråling og radioaktivitet,Radiation and radioactivity," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,36.400 kr.,Lego Education Spike Prime-sæt,Lego Education Spike Prime Sets," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Varde Kommune,62.833 kr.,"Engineeringsforløb om ""skadedyr"" i skolehaven.","Engineering course on ""pests"" in the school garden."," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Thisted Kommune,60.626 kr.,Robotbyggeri,Robot construction," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Favrskov Kommune,35.008 kr.,Livet i vand,Life in water," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Amager Lilleskole,95.558 kr.,Teknologiens betydning for menneskers sundhed og levevilkår,The importance of technology for human health and living conditions," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Thisted Kommune,50.955 kr.,"Teknologiforståelse, fra virkelighed til model og tilbage igen","Understanding technology, from reality to model and back again"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Copenhagen Capacity,5 mio. kr.,Science Hub Denmark,Science Hub Denmark, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024, Randers Kommune,190.500 kr.,Fra ildsjæl til team - Tillægsbevilling,From enthusiast to team - Additional grant," Børn, unge og science Teknologi og praktisk faglighed"
2024, VIA University College,"1,9 mio. kr.",Lige deltagelsesmuligheder i naturfagene - set i et identitetsudviklingsperspektiv,Equal opportunities for participation in the natural sciences - seen from an identity development perspective," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringkøbing Skole,42.554 kr.,Robot Hockey,Robot Hockey," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Skovvangskolen,41.097 kr.,Kan vi finde og tydeliggøre skolens biodiversitet,Can we find and clarify the school's biodiversity," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Hvidovre Kommune,35.560 kr.,"Legoværksted til Engineering, hvor der bygges modeller til en fremtidig skolegård","Lego workshop for Engineering, where models are built for a future schoolyard"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Københavns Kommune,39.100 kr.,Dokumentarfilm i naturfagene,Documentary film in the natural sciences," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Nordfyns Kommune,45.959 kr.,Bæredygtig energi,Sustainable energy," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Lejre Kommune,45.000 kr.,Projekt: Dyrk,Project: Grow," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Københavns Kommune,27.501 kr.,Hvad finder vi i kanalen?,What do we find in the channel?," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Jammerbugt Kommune,31.137 kr.,Vedvarende energi,Renewable energy," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Køge Kommune,41.900 kr.,"Lyde og bevægelse i naturen, året rundt","Sounds and movement in nature, all year round"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aalborg Kommune,70.033 kr.,På jagt efter kræftgenet,In search of the cancer gene," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aalborg Kommune,82.580 kr.,Moderne energiproduktion,Modern energy production," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aalborg Kommune,53.715 kr.,Verdens naturkatastrofer,The world's natural disasters," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Tuse Skole,58.000 kr.,Fællesskabende didaktik i naturfag hos børn med særlige behov,Community-creating didactics in science for children with special needs," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Silkeborg Kommune,54.169 kr.,Marketing og Making,Marketing and Making," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Roskilde Kommune,59.200 kr.,Styrket programmeringskultur i folkeskolen,Strengthened programming culture in primary and lower secondary schools," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Thisted Kommune,60.822 kr.,Inspirerende STEM undervisning,Inspiring STEM education," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Skive Kommune,92.400 kr.,Teknologi og teknologiforståelse i folkeskolen,Technology and technology understanding in primary and lower secondary schools," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Klokkerholm Skole,64.004 kr.,Bæredygtig energiforsyning på lokalt og globalt plan,Sustainable energy supply at local and global level," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,83.405 kr.,Teknologiforståelse,Technology understanding," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Mobilitetsfonden,"1,5 mio. kr.",Rammebevilling til Mobilitetsfonden 2024,Framework grant for the Mobility Fund 2024, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024, Mobilitetsfonden,1 mio. kr.,Villum Mobility Family Support Package for Villum International Postdoc Maria Scheel,Villum Mobility Family Support Package for Villum International Postdoc Maria Scheel, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024, Mobilitetsfonden,1 mio. kr.,Villum Mobility: Personality and Emotion-Aware Computing for Human-Centered AI (project no. 59826),Villum Mobility: Personality and Emotion-Aware Computing for Human-Centered AI (project no. 59826), Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024, KR Foundation,50 mio. kr.,KR Foundation 2024 - tillæg,KR Foundation 2024 - supplement, Miljø og klima Miljø og klima
2024, Færøernes Nationalgalleri - Listasavn Føroya,300.000 kr.,Færøernes Kunstmuseum,The Faroe Islands Art Museum, Kultur og samfund Andre projekter
2024, Københavns Universitet,"3,8 mio. kr.",Nye skove - nye værdier - nye steder,New forests - new values - new places, Kultur og samfund Andre projekter
2024, Danmarks Tekniske Universitet,25 mio. kr.,Fortsættelse af DTU GreenLab Skive Forskningsplatform,Continuation of DTU GreenLab Skive Research Platform, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024," Kivitsisa, Et løft af den grønlandske folkeskole","3,8 mio. kr.",Kivitsisa forankringsprogram,Kivitsisa anchoring program," Børn, unge og science Teknologi og praktisk faglighed"
2024, Snitfladen,"3,1 mio. kr.",Mod til at bruge dine hænder og din forstand,Courage to Use Your Hands and Your Mind," Børn, unge og science Teknologi og praktisk faglighed"
2024, Fredericia Kommune,85.000 kr.,Design og fremstilling af mobile væksthuse,Design and manufacture of mobile greenhouses," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Brønderslev Kommune,41.884 kr.,"Undersøgende arbejde i biologi, geografi og fysik/kemi","Investigative work in biology, geography and physics/chemistry"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringkøbing-Skjern Kommune,30.607 kr.,Plastik i Verden: Fra Problem til Løsning,Plastic in the World: From Problem to Solution," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Morsø Kommune,99.868 kr.,Livet med fjorden,Life with the fjord," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Holstebro Kommune,37.731 kr.,"Energi, elektriske kredsløb og Verdens ressourcer","Energy, electrical circuits and the world's resources"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Holstebro Kommune,27.184 kr.,Teknologiforståelse,Technology understanding," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Halsnæs Kommune,25.500 kr.,Naturdannelse på 2. årgang,Nature education in the 2nd year," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Nordfyns Kommune,36.508 kr.,Kroppen - Anatomi - Modellering,Body - Anatomy - Modelling," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aabenraa Kommune,27.917 kr.,Byg et hus,Build a house," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Lillevangskole,27.822 kr.,Hvilke smådyr og planter lever i vores mose og sø tæt på skolen?,What small animals and plants live in our marsh and lake close to the school?," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Individuals,0 kr.,"Daylight Award, Research, 2024: Till Roenneberg","Daylight Award, Research, 2024: Till Roenneberg", Villum Fonden Villum Fonden
2024, Individuals,450.000 kr.,"Daylight Award, Architecture, 2024: Alberto Campo Baeza","Daylight Award, Architecture, 2024: Alberto Campo Baeza", Villum Fonden Villum Fonden
2024, Silkeborg Kommune,60.000 kr.,Udeskolen - Skoven og søerne i Silkeborg,The Outdoor School - The Forest and Lakes in Silkeborg," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Vesthimmerland Kommune,27.000 kr.,Orangeri/udeskole-rum,Orangery/outdoor school room," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Fredericia Kommune,25.000 kr.,Den første programmering,The first programming," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Hvidovre Kommune,65.224 kr.,Magnetismens vidunderlige verden,The Wonderful World of Magnetism," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Fredericia Kommune,37.748 kr.,Mikroplast i Lillebælt,Microplastics in the Little Belt," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Silkeborg Kommune,90.708 kr.,"Sø, å og mose - Naturen omkring os","Lake, river and bog - Nature around us"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringsted Kommune,30.200 kr.,First Lego League junior,First Lego League junior," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringkøbing-Skjern Kommune,30.695 kr.,Vi skal på safari - 1. og 2. klasse,We are going on safari - 1st and 2nd grade," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Varde Kommune,37.000 kr.,Byens Eventyr - Udforskning gennem kodning og konstruktion,The Adventures of the City - Exploration through Coding and Construction," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Politikens Hus,"4,8 mio. kr.",Undervisningsprisen 2024-2026,Tuition Award 2024-2026," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Brønderslev Kommune,27.256 kr.,Søen og området omkring,The lake and the surrounding area," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Brønderslev Kommune,36.000 kr.,Naturfaglige forløb om plantevækst i lukkede kontrollerede rum og på udendørs arealer,Natural science courses on plant growth in closed controlled rooms and in outdoor areas," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Brønderslev Kommune,54.496 kr.,Bæredygtig energi,Sustainable energy," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringkøbing-Skjern Kommune,85.000 kr.,Red planeten - genbrug af tekstil og træ,Save the Planet - Recycling Textiles and Wood," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Esbjerg Kommune,25.266 kr.,Undersøgelsesbaseret naturfagsundervisning på 9. årgang,Inquiry-based science teaching in year 9," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Holstebro Kommune,53.166 kr.,"Bæredygtig energiproduktion, på lokal og global plan","Sustainable energy production, at local and global level"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Køge Kommune,61.367 kr.,En plante der kan GRO,A plant that can GROW," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Fredensborg Kommune,95.600 kr.,Plastik: Problem eller løsning,Plastic: Problem or Solution," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,48.906 kr.,Elektriske kredsløb,Electrical circuits," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Borbjerg Skole,25.941 kr.,Podcast og teknologiforståelse,Podcast and technology understanding," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Verein der Gehlberger Glastradition e.V.,"2,1 mio. kr.",Glass Museum Gehlberg,Glass Museum Gehlberg, Kultur og samfund Andre projekter
2024, Aarhus International School,10 mio. kr.,Renoveringsprojekt - Aarhus International School,Renovation project - Aarhus International School, Kultur og samfund Andre projekter
2024, Aarhus Symposium,50.000 kr.,Aarhus Symposium,Aarhus Symposium, Kultur og samfund Andre projekter
2024, BioInnovation Institute Foundation,20 mio. kr.,P2X accelerationsprogram på BII,P2X acceleration program at BII, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2023, Bornholms Kunstmuseum,"4,4 mio. kr.",Fremtidigt udstillingsfundament for Museum for Lys i samarbejde mellem James Carpenter og Bornholms Kunstmuseum,Future exhibition foundation for Museum of Light in collaboration between James Carpenter and Bornholms Kunstmuseum, Kultur og samfund Andre projekter
2023, Foreningen Københavns Lysfestival,200.000 kr.,Copenhagen Light Festival 2023 - høje ambitioner i Arkitekturår 2023,Copenhagen Light Festival 2023 - high ambitions in the Year of Architecture 2023, Kultur og samfund Andre projekter
2023, Københavns Universitet,5 mio. kr.,IceFlow BEDROCK,IceFlow BEDROCK, Teknisk og naturvidenskabelig forskning Villum Investigator
2023, Danmarks Tekniske Universitet,4 mio. kr.,Rumrejsen 2023,Space Journey 2023," Børn, unge og science Teknologi og praktisk faglighed"
2023, Syddansk Universitet,1 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2023, Syddansk Universitet,1 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2023, Muskelsvindfonden,313.713 kr.,Udeliv - med plads til forskelle TILLÆGSBEVILLING,Outdoor life - with room for differences, Kultur og samfund Dagslys og frisk luft
2023, Spejderne,5 mio. kr.,SciencePirater,SciencePirater," Børn, unge og science Science i Fritiden"
2023, Utzon Center A/S,5 mio. kr.,Utzons Arki-Lab,Utzons Arki-Lab," Børn, unge og science Science i Fritiden"
2023, Brabrand Boligforening,2 mio. kr.,Junior Rangers - Unges stemme i den grønne omstilling,Junior Rangers - Young people's voice in the green transition," Børn, unge og science Science i Fritiden"
2023, Syddansk Universitet,"2,8 mio. kr.",Fysikklub - Fysik og science klubber i region Syddanmark,Physics Club - Physics and science clubs in the Region of Southern Denmark," Børn, unge og science Science i Fritiden"
2023, Ungdommens Naturvidenskabelige Forening - UNF,"1,5 mio. kr.",UNF ScienceCamps 2023-2025,UNF ScienceCamps 2023-2025," Børn, unge og science Science i Fritiden"
2023, Københavns Universitet,"2,5 mio. kr.",Plads til liv,Room for life," Børn, unge og science Science i Fritiden"
2023, Teknologiskolen,"2,5 mio. kr.",Robot- og Teknologicamps,Robotics and Technology Camps," Børn, unge og science Science i Fritiden"
2023, Professionshøjskolen Absalon,2 mio. kr.,"Alkymister, superhelte og andre videnskabsfolk - der er science i børnekultur!","Alchemists, superheroes and other scientists - there is science in children's culture!"," Børn, unge og science Science i Fritiden"
2023, Syddansk Universitet,30 mio. kr.,Center for Environmental and Biological Evolution,Center for Environmental and Biological Evolution, Teknisk og naturvidenskabelig forskning Villum Investigator
2023, Mobilitetsfonden,1 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2023, Aarhus Universitet,20 mio. kr.,Videnscenter for digital teknologiforståelse,Knowledge Centre for Digital Technology Literacy," Børn, unge og science Evaluering og analyse"
2023, Réunion des musées nationaux - Grand Palais,"7,5 mio. kr.","Restoration of light at the Grand Palais (Paris, France)","Restoration of light at the Grand Palais (Paris, France)", Kultur og samfund Andre projekter
2023, UNCOVER ApS,100.000 kr.,UNCOVER Horsens & Horsens Ny Teater,Keeping Up With The Kardashians & Teaser, Kultur og samfund Andre projekter
2023, Københavns Universitet,2 mio. kr.,Doomsday by installments - challenging the dogma of singular climate tipping points in the laboratory,Doomsday by installments - challenging the dogma of singular climate tipping points in the laboratory, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Mastering of Metal Solidification,Mastering of Metal Solidification, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Nanoscale Imaging of a Photocatalyst at Work: What Comes After the Light?,Nanoscale Imaging of a Photocatalyst at Work: What Comes After the Light?, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Can catalysts decompose robust plastics? (PlasticCat),Can catalysts decompose robust plastics? (PlasticCat), Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,We were wrong! Using advanced techniques to reveal how cellulose-inhibiting herbicides actually work,We were wrong! Using advanced techniques to reveal how cellulose-inhibiting herbicides actually work, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aarhus Universitet,"1,9 mio. kr.",A global assessment of seabird and seamount connections,A global assessment of seabird and seamount connections, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aalborg Universitet,"1,9 mio. kr.",Liquid magic: Self-healing glasses from porous liquids,Liquid magic: Self-healing glasses from porous liquids, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aarhus Universitet,2 mio. kr.,LUMINA - Light-based Neuromodulation in Novel Material Artificial Neurons,LUMINA - Light-based Neuromodulation in Novel Material Artificial Neurons, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,neXt-Ray: a super-resolution light engine,neXt-Ray: a super-resolution light engine, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Syddansk Universitet,2 mio. kr.,Encoding Chemistry - Green Chemistry in Biomimetic Nanoreactors” – (EnCode),Encoding Chemistry - Green Chemistry in Biomimetic Nanoreactors” – (EnCode), Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aalborg Universitet,2 mio. kr.,Unlocking the potential of cyclodextrin crystals,Unlocking the potential of cyclodextrin crystals, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aalborg Universitet,2 mio. kr.,Listen2Battery: Diagnosing the Health of Lithium-ion Batteries through In-Situ Sound Monitoring,Listen2Battery: Diagnosing the Health of Lithium-ion Batteries through In-Situ Sound Monitoring, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,InSituMicroSeq: 3D reconstruction of microbial communities through in situ sequencing,InSituMicroSeq: 3D reconstruction of microbial communities through in situ sequencing, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Stabilization of few-atom metal catalysts in 3D nano-cage architecture for conversion of CO2 into high-value hydrocarbon,Stabilization of few-atom metal catalysts in 3D nano-cage architecture for conversion of CO2 into high-value hydrocarbon, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,MOving ON WAter (MOONWAlk): Algae buoyancy LacKing limbs,MOving ON WAter (MOONWAlk): Algae buoyancy LacKing limbs, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,Most Optimal Sampling Source for terrestrial biodiversity monitoring (MOSS),Most Optimal Sampling Source for terrestrial biodiversity monitoring (MOSS), Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,"Polyploidy is the rule, not the exception, in the bacterial world","Polyploidy is the rule, not the exception, in the bacterial world", Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,A powerful new technique to uncover how cells modify non-protein-coding RNAs,A powerful new technique to uncover how cells modify non-protein-coding RNAs, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,"1,9 mio. kr.",A yeast single-cell mucus layer for exploring the activity of sensory receptors in an olfactory mucus model,A yeast single-cell mucus layer for exploring the activity of sensory receptors in an olfactory mucus model, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Syddansk Universitet,2 mio. kr.,Using bacteria to sense and remove nanoplastics,Using bacteria to sense and remove nanoplastics, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aarhus Universitet,2 mio. kr.,Bioinspired surfactants that protect cryo-EM samples against denaturation at the air-water interface,Bioinspired surfactants that protect cryo-EM samples against denaturation at the air-water interface, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Uncharted Pathways: Aqueous Chemistry Avoided by Terrestrial Life (UPACA),Uncharted Pathways: Aqueous Chemistry Avoided by Terrestrial Life (UPACA), Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Aarhus Universitet,2 mio. kr.,Exploring vibrational intermolecular Coulombic decay in mixed water clusters: From vibrations to electron solvation,Exploring vibrational intermolecular Coulombic decay in mixed water clusters: From vibrations to electron solvation, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Danmarks Tekniske Universitet,2 mio. kr.,Junctionless nanostructure solar cells,Junctionless nanostructure solar cells, Teknisk og naturvidenskabelig forskning Villum Experiment
2023, Københavns Universitet,2 mio. kr.,Ancient RNA: uncovering the missing link to reveal a new era in Paleogenetics.,Ancient RNA: uncovering the missing link to reveal a new era in Paleogenetics., Teknisk og naturvidenskabelig forskning Villum Experiment
