,Year,Reciever,Grant size (DKK),Description,Location,Receiver Proffession
94,2024,Ala Trusina,DKK 13.727.861,Mapping out Physical Computation in Living Systems,"University of Copenhagen, Niels Bohr Institute",
95,2024,Københavns Universitet,DKK 4.998.000,Reducing short and long-term consequences of early stunted growth,Københavns Universitet,
96,2024,Bo Wegge Laursen,DKK 790.130,RECRUIT Sabbatical grant for Professor Bo Wegge Laursen,"University of Copenhagen, Department of Chemistry",Professor
97,2024,NordGen - Nordiskt Genresurscenter,DKK 750.000,Emergency protection of crop and plant diversity in Sudan,NordGen - Nordiskt Genresurscenter,
98,2024,University of Almeria,DKK 300.000,EASO-Novo Nordisk Foundation New Investigator Award: Clinical Research,University of Almeria,
99,2024,University of Eastern Finland,DKK 300.000,EASO-Novo Nordisk Foundation New Investigator Award: Childhood Obesity,University of Eastern Finland,
100,2024,University of Helsinki,DKK 300.000,EASO-Novo Nordisk Foundation New Investigator Award: Basic Science,University of Helsinki,
101,2024,University of Sheffield,DKK 300.000,EASO-Novo Nordisk Foundation New Investigator Award: Public Health,University of Sheffield,
102,2024,University of Leipzig,DKK 1.700.000,EASO-Novo Nordisk Foundation Obesity Prize for Excellence,University of Leipzig,
103,2024,Cosmin Eugen Oancea,DKK 1.000.000,RECRUIT Sabbatical grant for Associate Professor Cosmin Eugen Oancea,"University of Copenhagen, Department of Computer Science",Associate Professor
104,2024,Klaus Elenius,DKK 5.981.741,Overcoming Cancer drUg Resistance by targeting ERBB3 (CURE),University of Turku,Professor
105,2024,Joachim Audet,DKK 223.401,Beyond the Surface: a symposium on inland water greenhouse gas emissions,Aarhus University,Senior Researcher
106,2024,University of Copenhagen,DKK 3.919.180,Plants for peace 1.5 - Accelerated development of landmine biodetection for prioritization of demining activities in Ukraine,University of Copenhagen,
107,2024,Danish Academy of Technical Sciences,DKK 11.996.037,ECHO community of practice,Danish Academy of Technical Sciences,
108,2024,Henning Andreas Haga,DKK 986.835,AntiFENT - a novel antidote for fentanyl overdose victims,Norwegian University of Life Sciences,Professor
109,2024,Thomas Michael Frimurer,DKK 1.000.000,"Refinement and Commercialization of Selective GPR39 Agonists for Treatment of NAFLD, NASH and Cardiometabolic Diseases",University of Copenhagen,Associate Professor
110,2024,Jing Qin,DKK 999.500,RECRUIT Sabbatical grant for Associate Professor Jing Qin,"University of Southern Denmark, Department of Mathematics and Computer Sciences",Associate Professor
111,2024,Kristoffer Haurum Johansen,DKK 1.000.000,Self-guided stem cell differentiation using miRNA-enabled CRISPR activation,Technical University of Denmark,Postdoc
112,2024,Herlev and Gentofte Hospital - Copenhagen University Hospital,DKK 33.992.829,VAXXAIR Trial: Vaccine pandemic preparedness through airway immunology characterization,Herlev and Gentofte Hospital - Copenhagen University Hospital,
113,2024,Folkekirkens Nødhjælp,DKK 4.870.000,"Emergency response in Goma, Democratic Republic of Congo",Folkekirkens Nødhjælp,
114,2024,Thomas Laurell,DKK 6.000.000,PathogenWatch – Enabling early plant pathogen diagnostics and precision pest management through novel microfluidic imaging technology,Lund University,Professor
115,2024,Katrine Qvortrup,DKK 5.994.782,Indican-based light-driven blue denim dyeing for low-impact fashion,Technical University of Denmark,Associate Professor
116,2024,Copenhagen Business School,DKK 3.974.749,Green Minds Gather,Copenhagen Business School,
117,2024,Francis Combes,DKK 1.000.000,Hypoxia-Enhanced Activators of RNA Therapeutics (HEART),"SINTEF AS, by its institute SINTEF Industry",Researcher
118,2024,"Syddansk Universitet, SDU Robotics",DKK 4.200.910,International Elite Summer School in Robotics and Entrepreneurship,"Syddansk Universitet, SDU Robotics",
119,2024,Rasmus Kjøbsted,DKK 1.000.000,Muscle-Selective Drug Delivery: Treating Hyperglycemia and Enhancing Muscle Metabolic Health by Exercise Mimetics,University of Copenhagen,Associate Professor
120,2024,Jens Ejbye Schmidt,DKK 1.000.000,CHF (Combined Heat and Fuel) - PtX by CCU with Oxyfuel Incineration and CO2 Methanation,Syddansk Universitet,Professor
121,2024,Karin Habermehl-Cwirzen,DKK 171.470,2- day Symposium on “Sustainable Building Materials Engineering”,University of the Faroe Islands,Associate Professor
122,2024,Daniel Otzen,DKK 5.999.970,ENCORE: Enzymatic Nylon Conversion for Recycling,Aarhus University,Professor
123,2024,European Association for the Study of Obesity,DKK 512.000,EASO Early Career Network-activities,European Association for the Study of Obesity,
124,2024,Tomas Laursen,DKK 999.759,BNI Solutions - Yeast-based production of Sorgoleone,University of Copenhagen,Associate Professor
125,2024,Alan Aspuru-Guzik,DKK 999.663,RECRUIT Sabbatical grant for Professor Alan Aspuru-Guzik,"Technical University of Denmark, Department of Energy Conversion and Storage",Professor
126,2024,Charlotte Ingul,DKK 1.000.000,RescueDoppler – hands-free continuous carotid Doppler ultrasound for improved outcome of resuscitation after cardiac arrest,Norwegian University of Science and Technology,Professor
127,2024,Duncan Sutherland,DKK 1.000.000,On-site monitoring of toxins in plant-based sustainable food production,Aarhus University,Professor
128,2024,Grant Montgomery,DKK 1.000.000,RECRUIT Sabbatical grant for Professor Alan Aspuru-Guzik,"Aalborg University, Department of Health Science and Technology",Professor
129,2024,Steffen Goletz,DKK 5.999.944,Precision targeting glycoengineered exosomes for cancer gene therapy,Technical University of Denmark,Professor
130,2024,Lars Nilsson,DKK 1.000.000,Small-molecule TREM2-agonist for treatment of Alzheimer's disease,University of Oslo,Professor
131,2024,Alexander Zelikin,DKK 1.000.000,Artificial internalizing receptors,Aarhus University,Professor
132,2024,Solange Mussatto,DKK 1.000.000,Innovating New Ingredient Options for Functional Foods (NutriFiber),Technical University of Denmark,Professor
133,2024,Hans Bernstein,DKK 997.530,RECRUIT Sabbatical grant for Professor Hans Bernstein,"Technical University of Denmark, Department of Biotechnology and Biomedicine",Professor
134,2024,Andrei Laurynenka,DKK 493.042,RECRUIT Sabbatical grant for Associate Professor Andrei Laurynenka,"Technical University of Denmark, Department of Electrical and Photonics Engineering",Associate Professor
135,2024,Tobias Todsen,DKK 993.000,3Sonic – a novel intraoperative 3D Ultrasound System to ensure complete cancer removal during surgery,Rigshospitalet,Associate Professor
136,2024,Mart Saarma,DKK 5.999.884,Regulation of novel cell protective pathways in neurons and pancreatic beta cells by unique activators,University of Helsinki,Professor
137,2024,Owen Jones,DKK 999.951,RECRUIT Sabbatical grant for Associate Professor Owen Jones,"University of Southern Denmark, Department of Biology",Associate Professor
138,2024,Knud Jørgen Jensen,DKK 999.111,Smart glucose responsive insulin with cleavable thiazolidine linker: in vivo studies,University of Copenhagen,Professor
139,2024,Jan Terje Andersen,DKK 1.000.000,A New Targeted Strategy for Clearance of Autoantibodies,Oslo University Hospital,Professor
140,2024,Erik Dam,DKK 658.340,RECRUIT Sabbatical grant for Professor Erik Dam,"University of Copenhagen, Department of Computer Science",Professor
141,2024,UCL Erhvervsakademi og Professionshøjskole,DKK 496.600,Pre-project about Life Science på Fyn,UCL Erhvervsakademi og Professionshøjskole,
142,2024,Danish Technological Institute,DKK 133.724.191,SmartField,Danish Technological Institute,
143,2024,Witold Kot,DKK 495.900,,University of Copenhagen,Assistant Professor
144,2024,"IT University of Copenhagen, Computer Science Department",DKK 2.499.068,Start Package Grant for Associate Professor Martin Hentschel,"IT University of Copenhagen, Computer Science Department",
145,2024,Birthe Brandt Kragelund,DKK 103.425,The 2024 ISBUC Annual Meeting: Integrative Structural Biology,University of Copenhagen,Professor
146,2024,Selin Kara,DKK 393.867,INTENSIFYING BIOCATALYTIC PROCESSES From Enzyme and Material Design to Industrial Applications (IBPRO2025),Aarhus University,Professor
147,2024,Jakob Winther,DKK 364.800,Protein engineering and design: from development to impact,University of Copenhagen,Professor
148,2024,Daria Podlekareva,DKK 450.000,Workshop on Innovations in Tuberculosis 2025: research perspectives for Europe,Rigshospitalet,Research Scientist
149,2024,Espen Victor Jimenez Solem,DKK 184.421,Symposium on Artificial Intelligence and Pharmacology – Present and Future,Bispebjerg og Frederiksberg Hospitaler,Chief Physician/Consultant
150,2024,Peter Brodersen,DKK 500.000,The Argonautes,University of Copenhagen,Professor
151,2024,Kim Ryun Drasbek,DKK 171.365,"Workshop in Generative artificial intelligence in neuroscience research: Statistical modeling, machine learning, and large language models",Aarhus University,Associate Professor
152,2024,Emilie Bierlich,DKK 438.900,Digital Prisms: Exploring Nordic Women Artists (1870-1910) Through the Lens of AI,Statens Museum for Kunst,Researcher
153,2024,Pablo Ivan Nikel Mayer,DKK 265.350,Focus meeting — Pseudomonas species in sustainability and biomedical research,Technical University of Denmark,Professor
154,2024,Rhea Gaardboe Dall,DKK 172.600,“DEADTIME: A Symposium-like-gathering On Resisting Performance”,Overgaden - Institut for samtidskunst,Head of department
155,2024,Anders Dahl,DKK 146.551,Workshop: Advancing Medical Imaging: Integrating AI & Data Sharing for the Human Organ Atlas Hub,Technical University of Denmark,Professor
156,2024,University of Copenhagen,DKK 200.000,UCPH 2024 iGEM team,University of Copenhagen,
157,2024,Technical University of Denmark,DKK 199.900,DTU BioBuilders 2024 iGEM team,Technical University of Denmark,
158,2024,Rigshospitalet,DKK 172.000.000,REACT - Reversal of Early Atherosclerosis through personalised Curative Treatment (Phase 1),Rigshospitalet,
159,2024,Københavns Universitet,DKK 4.742.000,Verden forsøgt forklaret,Københavns Universitet,
160,2024,Syddansk Universitet,DKK 100.169,Challenge Programme Symposium 2024,Syddansk Universitet,
161,2024,DRC Dansk Flygtningehjælp,DKK 11.000.000,Demining project in Ukraine,DRC Dansk Flygtningehjælp,
162,2024,Johns Hopkins University,USD 2.200.000,Targeting Viral Macrodomains: Combat Coronaviruses with First-in-Class Inhibitors,Johns Hopkins University,
163,2024,University College Absalon,DKK 22.000.000,Helix lab expansion,University College Absalon,
164,2024,Røde Kors,DKK 1.000.000,Emergency response for flood affected areas in Kenya,Røde Kors,
165,2024,Novo Nordisk Haemophilia Foundation,DKK 5.000.000,Accelerating access to diagnosis and care for people with blood disorders in India,Novo Nordisk Haemophilia Foundation,
166,2024,KOLO Nordic,DKK 300.000,Recreational stay for Ukrainian frontline healthcare personnel,KOLO Nordic,
167,2024,"University of Copenhagen, Department of Computer Science",DKK 3.999.932,Start Package Grant for tenure track Assistant Professor Amartya Sanyal,"University of Copenhagen, Department of Computer Science",
168,2024,"Technical University of Denmark, Department of Energy Conversion and Storage",DKK 3.330.670,Start Package Grant for tenure track Assistant Professor Anastasiia Konovalova,"Technical University of Denmark, Department of Energy Conversion and Storage",
169,2024,Annika Foxby,DKK 250.000,NNF Naturfagsunderviser på Pædagoguddannelsen 2024,"Professionshøjskolen Absalon, Slagelse Kommune",
170,2024,Annika Foxby,DKK 250.000,NNF Naturfagsundervisere på Pædagoguddannelsen 2024,"Professionshøjskolen Absalon, Roskilde",
171,2024,Carsten Jahnke,DKK 1.500.000,"The illuminated charter: visual splendor, performance, and authenticity of legal documents",Københavns Universitet,
172,2024,Christian Storm Tholberg,DKK 25.000,NNF Naturfagslærerpris 2024 - Vest,"Erritsø Fællesskole, Fredericia Kommune",
173,2024,Christian Storm Tholberg,DKK 250.000,NNF Naturfagslærerpris 2024 Vest,"Erritsø Fællesskole, Fredericia",
174,2024,Christina Wegeberg,DKK 16.484.479,RECRUIT grant for Postdoc Christina Wegeberg,"University of Southern Denmark, Department of Physics, Chemistry and Pharmacy",Postdoc
175,2024,"University of Copenhagen, Niels Bohr Institute",DKK 150.000.000,Copenhagen Center for Biomedical Quantum Sensing,"University of Copenhagen, Niels Bohr Institute",
176,2024,Massachusetts Institute of Technology,USD 150.000,Danish participation in the course “Nuclear Energy in a low-Carbon Future: Key Facts and Issues” at Massachusetts Institute of Technology,Massachusetts Institute of Technology,
177,2024,Emil Leth Meilvang,DKK 1.989.817,Når viden tager form: Bertel Thorvaldsen og den undervisende kunstner,Det Kongelige Danske Kunstakademi (Billedkunstskolerne),
178,2024,Eva la Cour,DKK 1.800.000,Scenes of fieldwork: Negotiated imagination and interdisciplinary collaboration,Københavns Universitet,
179,2024,Fatma Bucak,DKK 2.449.993,Shared Disasters and the Sound of the Setting Sun: A contemporary opera to reflect and challenge the social and political discourse on climate,Art Hub Copenhagen,
180,2024,Gorm Worsøe Clausen & Rune Olsen,DKK 250.000,NNF Naturvidenskabelige Gymnasielærerpris 2024 - Øst,"Roskilde Gymnasium, Roskilde Kommune",
181,2024,Gorm Worsøe Clausen & Rune Olsen,DKK 250.000,NNF Naturvidenskabelig Gymnasielærerpris 2024 - Øst,"Roskilde Gymnasium, Roskilde",
182,2024,Hannah Rogers,DKK 1.638.799,What Curators Know: Multidisciplinary Curation in Contemporary Art and Life Sciences,Faculty of Health and Medical Sciences - University of Copenhagen,
183,2024,Hannah Rogers,DKK 1.800.000,Scenes of fieldwork: Negotiated imagination and interdisciplinary collaboration,Københavns Universitet,
184,2024,Jeannette Ehlers,DKK 2.447.710,Mellempassagen som figur for dekolonial viden,Det Kongelige Danske Kunstakademi (Billedkunstskolerne),
185,2024,Jens Frederik Broch,DKK 250.000,NNF Naturfagslærerpris 2024 - Øst,"Rudersdal Lilleskole, Rudersdal Kommune",
186,2024,Jens Frederik Broch,DKK 250.000,NNF Naturfagslærerpris 2024 Øst,"Rudersdal Lilleskole, Holte",
187,2024,Jesper Svenningsen,DKK 1.457.710,Johannes Rump og hans samlinger,Statens Museum for Kunst,
188,2024,"Karima Bruun Henriksen, Harry Andrew Osborne & Morten Fich Lønnee",NA,NNF Natur- og Teknologilærerpris 2024 - Øst,"Skt. Josefs Skole, Roskilde Kommune",
