,Year,Reciever and Title,Grant size (DKK),Description,Project Category
45,2024,"Interne ressourcer Natur til et godt liv, ressourcer anvendt i KBH 2023 (skattemæssige bevilling)",96.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
46,2024,DDC - Foranalyse: Rammevilkår for systemforandring i Danmark,383.750 kr.,"I samarbejde med Danish Design Center, DDC, har Bikubenfonden fået udviklet en foranalyse for rammevilkårene for systemforandring i Danmark. Analysens har til formål at udbygge og udbrede viden om, hvordan systemforandringskapaciteten kan styrkes i en dansk kontekst.",Andre formål
47,2024,Interne ressourcer Bestyrelsesmateriale 2023 (skattemæssig bevilling),115.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
48,2024,Interne ressourcer Bestyrelsesmateriale 2023 (skattemæssige bevilling) (Filantropi - konvertering),266.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
49,2024,D:K:U Teater Momentum,500.000 kr.,"Med udviklingsindsatsen vil Teater Momentum skabe et læringsrum for organisationen og udvikle en ny metode til, at teatret bedst muligt kan understøtte forskellige typer kunstneriske processer. Ved at prioritere refleksioner, forberedelse, læringsmiljøer, formidling samt procesfacilitering, vil de designe processer, der kan nedbryde de klassiske produktionshierarkier og indfase en ny samskabelse på tværs af faggrupper på teatret.",Aktuel kunst
50,2024,SUS - EVTA sekretariat 2024-2025,2.000.000 kr.,"En Vej til Alle er et handlingsfællesskab, som stiller sig til rådighed for kollektivt at tage samfundsansvar for missionen om at skabe ”En Vej til Alle” de unge, der i dag står uden for job og uddannelse. En Vej til Alle tager hul på en ny fase i foråret 2024, hvor forandringskoalitionen skal handle på udvalgte udfordringer i de dedikerede udviklingsplaforme. Hver udviklingsplatform er en arbejdsgruppe, der fokuserer på et tema og en målsætning med konkret systemisk forandring som sigte. I denne sammenhæng bevilges SUS 2.000.000 kr. til at støtte udviklingsplatformene i at komme godt i gang.",Unge på kanten
51,2024,Svanninge Bjerge – blåstempling og udvikling af biodiversitetsindsatsen (konverteret),1.750.000 kr.,"I Svanninge Bjerge arbejder vi målrettet for verdensmål nr. 15 (Livet på land, herunder stoppe tabet af biodiversitet), ligesom vi indtænker CO2-absorption i forvaltningen. I 2023 blev vi tildelt den mest omfattende økosystemtjenestecertificering for biodiversitet (ESC), der endnu er lavet i Danmark. Med certificeringen har vi opnået en blåstempling af vores arbejde, ligesom det giver os en mulighed for at kvalitetssikre vores nuværende og fremtidige biodiversitetsfremmende indsats. Certificeringen er sket i samarbejde med HedeDanmark og FSC Danmark, og var mulig at gennemføre, fordi vi står på et solidt fundament af biodiversitets-fremmende arbejde siden 2005/2006. I den kommende periode arbejder vi videre med udvikling af det strategiske sigte for biodiversitetsindsatsen. Formålet med forvaltningen af Svanninge Bjerge er: at fremme biodiversiteten, at danne udgangspunkt for et fysisk laboratorium i Natur til et godt liv og at formidle og udfolde oplevelsesværdien af naturen og landskabet.",Svanninge Bjerge
52,2024,Interne ressourcer Udvikling 2023 (skattemæssige bevilling) (Filantropisk - konvertering),275.000 kr.,,Bikubenfonden
53,2024,Interne ressourcer Rådgivning 2023 (skattemæssige bevilling),61.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
54,2024,Interne ressourcer Dialog med potentielle modtagere 2023 (Filantropi - konvertering),40.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
55,2024,Interne ressourcer Dialog med potentielle modtagere 2023 (Filantropi - konvertering),80.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
56,2024,Interne ressourcer Udvikling 2023 (skattemæssige bevilling) (Filantropi konvertering),127.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
57,2024,TaskForce-indsats for Scenekunst på Færøerne 2024,780.000 kr.,"Bikubenfonden og Nordisk Kulturfond har siden 2020 samarbejdet om Task Force-programmet. Formålet er at bistå institutioner inden for aktuel scene- og billedkunst med at udvikle deres kunstneriske potentiale gennem at opbygge kapacitet i deres egne organisationer - eller ved gennem samarbejder og partnerskaber at bidrage til udvikling af et helt fagfelt. Task Force-indsatsen for scenekunst på Færøerne tilrettelægges i tæt samarbejde med Nordens Hus i Tórshavn, det færøske scenekunstfelts aktører og andre relevante partnere.",Aktuel kunst
58,2024,Interne ressourcer Bestyrelsesmateriale 2023 (Filantropi - konvertering),115.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
59,2024,"Interne ressourcer Natur til et godt liv, ressourcer anvendt i KBH 2023( (Filantropi - konvert.)",96.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
60,2024,INVI – Institut For Vilde Problemer - år 2,3.445.000 kr.,INVI blev sat i verden for at bidrage til at skabe bedre politisk og bureaukratisk evne til arbejdet med vilde samfundsproblemer og systemisk forandring. De skal bidrage til at transformere de forældede administrative tankegange og værktøjer. Samarbejdet med INVI er et tre-årigt med årlige driftsbevillinger. I 2024 blev der udløst en bevilling på 3.445.000 kr. inklusive interne filantropiske omkostninger.,Unge på kanten
61,2024,The Performance bulletin - Kunsten betydning i det offentlige rum,750.000 kr.,"Den Frie vil med sit nye performanceprogram Performance Bulletin undersøge, hvordan live-performances kan udfordre den konventionelle adskillelse mellem kunstrum og offentlige rum. Deres indsats undersøger, hvordan man kan udvide publikums idé om, hvad en kunstoplevelse er - ved at præsentere en række sociale og interaktive performances i uvante omgivelser. Kunsthallen er en ud af fem aktører, vis aktiviteter indgår i undersøgelsen , som foretages i samarbejde med Kulturens Analyseinstitut.",Aktuel kunst
62,2024,"Interne ressourcer Monitorering/kurser, uddannelse 2023 (Filantropi - konvertering)",262.000 kr.,,Bikubenfonden
63,2024,PASSAGE festival - Kunstens betydning i det offentlige rum,750.000 kr.,"PASSAGE Festival er en af Nordeuropas største internationale gadeteaterfestivaler, der hvert år bringer verden til Helsingør og forvandler både byrum og boligområder til en legende og levende scene. Festivalen bliver skabt af Helsingør Teater - en ud af 61 teaterforeninger i Danmark, og den eneste, der benytter sig af festivalformatet i offentlige rum til præsentation af scenekunst. Festivalen er en ud af fem aktører, vis aktiviteter indgår i undersøgelsen , som foretages i samarbejde med Kulturens Analyseinstitut.",Aktuel kunst
64,2024,Performance i det fri - Kunstens betydning i det offentlige rum,495.000 kr.,"Horsens Kunstmuseum og Horsens Kommune samarbejder om programmet , der igennem performanceoplevelser undersøger spændingsfeltet mellem dagligdagens trivialiteter sat over for en række performative praksisser, der på hver sin måde vil få beskueren til at stoppe op, kigge med og deltage i kunstneriske oplevelser. Kommunen og museet er en ud af fem aktører, vis aktiviteter indgår i undersøgelsen , som foretages i samarbejde med Kulturens Analyseinstitut.",Aktuel kunst
65,2024,Charlottenborg Biennale - Kunstens betydning i det offentlige rum,816.000 kr.,"Kunsthal Charlottenborg Biennale samarbejder med AFA JCDecaux om at skabe kunstudstillinger på reklamepaneler over hele Danmark med dansk og international kunst på højeste niveau. I 2025 præsenterer Art 2030 og Charlottenborg Biennalen Biennalen er en ud af fem aktører, vis aktiviteter indgår i undersøgelsen , som foretages i samarbejde med Kulturens Analyseinstitut.",Aktuel kunst
66,2024,HAUT - ekstra aktiviteter 2024-25,1.650.000 kr.,HAUT modtager bevilling til ekstra residencyaktiviteter i sæson 2024-25.,Aktuel kunst
67,2024,D:K:U - Munkeruphus,500.000 kr.,,Aktuel kunst
68,2024,Netværk - udveksling mellem forskning og praksis inden for kunst- og kulturfeltet,400.000 kr.,Dronning Mary Center har modtaget bevilling til udvikling og etablering af et netværk med fokus på udveksling mellem forskning og praksis indenfor kunst- og kulturfeltet.,Aktuel kunst
69,2024,Udvikling af Kronprinsparrets Priser,120.000 kr.,Bevillingen er givet til en udviklingsproces for Kronprinsparrets Priser.,Andre formål
70,2024,D:K:U Enter Ghost,500.000 kr.,"Enter Ghost modtager som tværkunstnerisk, internationalt kompagni støtte til at udvikle brand, arbejdsmetode og international strategi.",Aktuel kunst
71,2024,Klima og vildere natur,1.500.000 kr.,"I Svanninge Bjerge arbejder vi målrettet for verdensmål nr. 15 (Livet på land, herunder stoppe tabet af biodiversitet). Dette arbejde skal kvalitetessikres ved at indgå et samarbejde med FSC om en ny form for blåstempling.",Svanninge Bjerge
72,2024,Copenhagen Opera Festival - Kunstens betydning i det offentlige rum,700.000 kr.,"Copenhagen Opera Festival præsenterer opera i mange formater forskellige steder i det offentlige rum. De skaber en inkluderende og nytænkende byfestival, og arbejder for at opera er relevant for et bredt publikum, når de præsenterer opera på højt niveau og udvider vores forståelse af og rammerne for, hvad opera er og kan. Festivalen er en ud af fem aktører, vis aktiviteter indgår i undersøgelsen , som foretages i samarbejde med Kulturens Analyseinstitut.",Aktuel kunst
73,2024,Summerworks 2024,89.912 kr.,ArtHub Copenhagen har modtaget en særbevilling til gennemførelse af residencyprogrammet Summerworks 2024 i New York.,Aktuel kunst
74,2024,Filantropiske omkostninger i forbindelse med filantropisk arbejde,500.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
75,2024,Foreningen BIRCA Residency - Susanne Danig,187.000 kr.,"Foreningen BIRCA Residency har modtaget støtte til at udvikle en model for dokumentation og arkivering af scenekunstnerisk forskning med udgangspunkt i egen erfaring som residencycenter og den økologiske scenekunsts mindset. Modellen baseres på praksisforskning, seminarer, udvikling af database og publikation af resultater.",Aktuel kunst
76,2024,Interne ressourcer Monitorering 2023 (skattemæssige bevilling) (Filantropi - konvertering),221.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Bikubenfonden
77,2023,Thoravej 29 på Enigheden - drift,2.324.000 kr.,,Andre formål
78,2023,NTGL Lab - eksterne partnere 2022-2024,800.000 kr.,"Bevillingen er en del af en 3-årige rammebevilling, der støtter en ambitiøs videreudvikling af Natur til et godt liv - Laboratoriet og Natur til et godt liv - Svanninge Bjerge, som en inkubator for naturintegreret socialt arbejde.",Unge på kanten
79,2023,En Vej til Alle - fase 2: Modstrøm - øget ungeinvolvering,200.000 kr.,Dette er deludmøntning af en samlet bevilling på 3.2 mio. kr. godkendt på bestyrelsesmødet oktober 2022. Den understøtter et øget fokus på at samarbejde med de unge i En Vej til Alle (herunder aktiviteter ifm. Ungetopmøde og Folkemøde).,Unge på kanten
80,2023,SKOVGAARD MUSEET I VIBORG - Christian Kortegaard Madsen,350.000 kr.,"Skovgaard Museet i Viborg modtager støtte til at teste nye formidlingsideer, der kan informere museets strategiske udviklingsplaner.",Aktuel kunst
81,2023,Juxtapose Art Fair - Jacob Juhl,300.000 kr.,Juxtapose Art Fair er en kunstmesse for kunstnerdrevne udstillingssteder og -projektrum. Juxtapose modtager støtte til et forretningsudviklingsforløb.,Aktuel kunst
