Year	Reciever	Grant size (DKK)	Description	Project Category	Location	Title
Year: 2024	Grantee: Jeffrey Rasmussen, Assistant Professor, University of Washington	Amount: DKK 3,834,520	"Jeffrey Rasmussen’s project investigates the mechanisms governing Langerhans cells’ immune response in wound healing, particularly the role of the microtubule cytoskeleton.
Skin provides a robust and durable physical barrier essential for regulating hydration and repelling pathogens. Damage to skin must be rapidly resolved to maintain organ homeostasis. Epidermal-resident immune cells known as Langerhans cells use dendritic protrusions to dynamically surveil the skin microenvironment, which contains epithelial keratinocytes and somatosensory peripheral axons.
The mechanisms governing Langerhans cell dendrite dynamics and responses to tissue damage are not well understood. Jeffrey Rasmussen and his lab have developed a tractable system using adult zebrafish to study Langerhans cell dynamics. Initial studies using this system revealed several new discoveries, including: 1) that Langerhans cells are the primary phagocyte for degenerating somatosensory axons; 2) Langerhans cells undergo stereotyped responses to local and tissue-scale keratinocyte wounds; and 3) the actin regulator ROCK regulates key aspects of Langerhans cell wound responses. Despite advances in identifying mechanisms of actin function in Langerhans cells, roles for the microtubule cytoskeleton in Langerhans cell biology remain essentially unknown. In preliminary studies, Jeffrey Rasmussen has developed a novel transgenic reporter for microtubules in Langerhans cells and found that the microtubule cytoskeleton dynamically reorganizes during wound responses. His project aims to determine how the microtubule cytoskeleton contributes to the intracellular trafficking and dynamic wound responses of Langerhans cells.
The results of Jeffrey Rasmussen’s project could lead to new fundamental understandings of Langerhans cell biology and dynamics."	Grant category: Research Grants in open competition	Geography: USA	Control of Langerhans cell dynamics and function by the microtubule cytoskeleton
Year: 2024	Grantee: Maria Alcolea, Associate Professor, University of Cambridge	Amount: DKK 3,887,952	"Maria Alcolea’s project explores how the plasticity of skin cells is affected by aging. Maria Alcolea and her team will study the molecular pathways that modulate changes in cell behaviour throughout life. The ultimate aim is to identify new targets to improve tissue regeneration and delay the regenerative decline associated with human skin ageing.
The ability of epithelial cells to rewire their program of cell fate in response to tissue perturbations has emerged as a new paradigm in stem cell biology. This plasticity improves the efficiency of tissue repair by enabling differentiated/lineage committed cells to reacquire stem cell-like behavior in response to damage. However, despite obvious implications for skin regeneration, virtually nothing is known about how the plastic capacity of skin cells is affected by ageing, and whether this contributes to changes in the normal physiology of the epidermis at later stages in life.
Maria Alcolea’s project will investigate the impact of aging in skin cell fate plasticity by making use of a novel in vivo model that enables tracing the fate of epidermal cells from the earliest stages of commitment towards differentiation. Newly developed tools offers a unique opportunity to identify the mechanisms dictating epithelial cell fate plasticity and determine whether aged-associated changes in this process hold the key to understand why the regenerative capacity of our skin declines over time. She will combine the lab’s expertise in in vivo quantitative lineage tracing, single-cell RNA sequencing approaches, and mathematical network analysis. Observations made in in vivo mouse models will be compared to human skin using a novel 3D organ culture.
Maria Alcolea’s project may contribute significantly to the emerging field of epidermal cell plasticity and provide a benchmark for identifying potential targets to partially reduce/reverse skin ageing."	Grant category: Research Grants in open competition	Geography: United Kingdom	Impact of ageing on epidermal cell fate plasticity
Year: 2024	Grantee: Sophia Maschalidi, Assistant Professor, Universiteit Gent	Amount: DKK 3,986,871	"Sophia Maschalidi’s project explores the significance of enhancing efferocytosis – clearance of apoptotic cells by phagocytes – in skin injury repair, with the overall aim of accelerating wound closure.
The continual turnover of billions of cells in our bodies occurs as professional and non-professional phagocytes engulf cells dying via apoptosis. The efficiency of cell clearance or efferocytosis is remarkable and critical for homeostasis, minimizing inflammation and promoting repair. As the largest organ in our body, the skin acts as our first line of defense. Tissue repair after skin injury involves the clearance of apoptotic cells by phagocytes at the wound site as part of the process of resolving the inflammation and restoring the barrier. The importance of hastening barrier restoration is highlighted in chronic non-healing wounds, such as those associated with diabetes or in excess healing reactions after wounding leading to pathological scar tissue formation or fibrosis.
Sophia Maschalidi’s project aims to develop appropriate tools to enhance efferocytosis in vivo. Using novel techniques and sophisticated genetic mouse models, it will systematically address, for the first time, the importance of boosting efferocytosis during primary skin injury repair and in subsequent challenges. It will address how primary phagocytic experience shapes long-term changes on phagocytes and neighboring cells and whether this “efferocytic memory” shapes responses to secondary assaults.
Sophia Maschalidi’s project hopes to result in a fundamental understanding of the mechanisms and potential in boosting efferocytosis for therapeutic benefit in cutaneous wound management."	Grant category: Research Grants in open competition	Geography: Belgium	Boosting the phagocytic clearance of apoptotic cells for better wound healing during primary skin injury repair and upon secondary assaults
Year: 2024	Grantee: Yossi Buganim, Associate Professor, The Hebrew University of Jerusalem	Amount: DKK 3,996,300	"Yossi Buganim’s project investigates the mechanisms behind fibroblast dysfunction in aging skin and develops a novel technology for rejuvenating aged fibroblast to improve wound healing.
Fibroblasts are pivotal in orchestrating skin wound healing processes, contributing to fibrin clot breakdown, extracellular matrix synthesis, collagen formation, and wound contraction. These multifaceted roles highlight their significance in skin repair following injuries, which trigger a cascade of synchronized healing mechanisms. Despite their crucial functions, aging impairs fibroblast functionality, leading to prolonged and impaired wound healing processes, increasing susceptibility to chronic wounds and scarring. Elderly individuals experience delayed wound healing, partly attributed to reduced cell division of the aged fibroblasts and diminished fat cell production and attraction to the wound area, resulting in thinning skin and heightened vulnerability to injuries. Moreover, aging cells exhibit slower regeneration, compromised bacterial defense mechanisms, and increased inflammation, further hindering the healing process.
Addressing these age-related impairments is imperative for advancing wound care strategies. Yossi Bunganim’s project seeks to elucidate the molecular mechanisms underlying fibroblast dysfunction in aging and leverage novel partial reprogramming technology to rejuvenate aged fibroblasts, enhancing wound healing outcomes.
Yossi Bunganim’s project aims to develop innovative interventions to mitigate the burden of chronic wounds and scarring in the aging population, ultimately improving overall quality of life and healthcare outcomes."	Grant category: Research Grants in open competition	Geography: Israel	Harnessing Novel Partial Reprogramming Technology to Revitalize Aging Skin Fibroblasts for Enhanced Wound Healing
Year: 2024	Grantee: Nicolas Manel, Research Director, Institute Curie	Amount: DKK 2,723,700	"Nicolas Manel’s project explores the mechanisms of skin aging and immunity dysfunction, with a focus on establishing a novel model for investigating the role of the nuclear envelope in skin aging.
Genome instability is considered a central mechanism of aging. The nuclear envelope is essential for genome stability. Nicolas Manel’s laboratory recently reported that in mice deficient for a protein of the nuclear envelope in the immune system, alveolar macrophages, but not other lung immune cells, acquire aging hallmarks and decline in number, as observed in chronological aging. This established that deficiency of a nuclear envelope component can represent a cell-intrinsic model of accelerated aging in specific immune cell types. In preliminary results, further explorations revealed that subsets of skin immune cells are also decreased in a mouse model of nuclear envelope deficiency. Interestingly, the same skin immune cells are decreased in the aged skin of humans and mice. Nicolas Manel’s project will test the hypothesis that loss of nuclear envelope integrity is a mechanism of aging in these skin immune cells. It aims to define the mechanisms leading to skin immune cell depletion, the impact on the immune cell homeostasis in the skin, and the pathophysiological consequences of such depletion in skin immunity against age-related pathologies.
The results of the project have the potential to reveal new fundamental pathways in the aging of skin immunity and its impact on the health of aged individuals."	Grant category: Research Grants in open competition	Geography: France	A novel model to study aging of skin immunity
Year: 2024	Grantee: Eran Elinav, Head of Department, Weizmann Institute of Science	Amount: DKK 4,000,000	"Eran Elinav’s project explores the role of circadian rhythm in regulating host-microbiome interactions in the skin, and the impact of abnormal circadian rhythm on the microbiota of the gut, with a potential link to skin inflammation, psoriasis in particular.
While the exact cause of psoriasis remains elusive, it is believed to stem from a combination of genetic and environmental factors, including dietary and biological clock-related influences. The mechanism by which these factors impact psoriasis is closely tied to the circadian rhythm, as evidenced by the abnormal circadian rhythms observed in psoriasis patients. In recent years, the pivotal role of the microbiota – the trillions of indigenous microorganisms inhabiting the human body – has come to the forefront. Eran Elinav’s group has recently uncovered that circadian disruption can exacerbate inflammatory diseases by disrupting the diurnal oscillations of the gut microbiota. His project explores how the circadian clock may also orchestrate fluctuations in the dermal microbiome, which could be crucial in understanding skin diseases such as psoriasis.
Eran Elinav’s project aims to identify novel host-microbiome interactions in the skin and generate a novel framework for microbiome-based interventions for psoriasis."	Grant category: Research Grants in open competition	Geography: Israel	Decoding circadian host-microbiome skin interactions in health and psoriasis
Year: 2024	Grantee: Lukas Sommer, Professor, University of Zurich	Amount: DKK 3,781,580	"Lukas Sommer’s project explores the mechanisms mediating the role of repair glia in skin wound healing by means of genetically engineered mouse models and an organotypic 3D culture system of human skin wounds.
Inefficient skin wound healing can cause severe medical problems, including chronic wounds and ulcers. Innervation is a critical player in tissue regeneration and repair. While most studies have linked this effect to signaling from axons, there is increasing evidence for peripheral glia contributing to successful wound healing. Lukas Sommer’s laboratory has recently shown that peripheral glia following skin injury to become repair glia, which promote the wound healing process by paracrine signaling. In his project, single cell RNA sequencing on the cellular microenvironment in presence or absence of repair glia at defined timepoints after skin injury will be performed and complemented with spatial omics approaches to characterize the gene expression profile of repair glia and to identify their mode of intercellular communications with other skin cell types. Multiplex optical imaging approaches on biopsies of murine and human skin lesions will allow the investigation of the relevance of our findings in human skin diseases. Finally, functional validation of key candidate factors in mice and in 3D reconstituted human skin wounds will determine how repair glia promote the wound healing process and which signaling pathways could potentially represent targets for treatment.
Lukas Sommer’s project therefore aims to enhance our understanding of wound healing mechanisms with potential broad applications in medicine."	Grant category: Research Grants in open competition	Geography: Switzerland	Repair Glia: An Overlooked Cell Type Orchestrating Skin Wound Healing
Year: 2024	Grantee: Wei Tao, Assistant Professor, Brigham and Women's Hospital	Amount: DKK 3,999,996	"Wei Tao’s project explores the biological mechanisms to improve wound healing in adults by mimicking the scarless fetal wound healing process. This project aims to engineer a system that replicates the fetal extracellular matrix and immune responses, using mRNA techniques to produce specific proteins and inhibit biological processes leading to scar formation. This system employs lipid nanoparticles for mRNA delivery and hydrogel for controlled release, enabling spatiotemporal control of key components like collagen type III and interleukin-10, thereby reconstituting fetal-like extracellular matrix organization and modulating over-activated immune responses.
The project’s goals include establishing a foundation for future scarless wound healing studies, developing a hybrid mRNA therapeutic platform for skin defects and diseases, and correlating extracellular matrix and immune modulation with subsequent biological processes and outcomes. This research has promising potential for clinical applications in wound care and other dermatological diseases."	Grant category: Research Grants in open competition	Geography: USA	Modulating ECM and Immune Responses by Hybrid mRNA Therapeutics for Fetal-like Scarless Wound Healing
Year: 2024	Grantee: Troels Gollander, Forlaget Meta	Amount: DKK 225,000	"The ‘Max og Meta’ children’s book series targets 4-12-year-olds with a cartoon-like format presenting stories revolving around natural science phenomena. The series is created by an experienced duo, author Troels Gollander and illustrator Lars-Ole Nejstgaard. The project covers two new books in the series, focused on the sensory system and the body, a website targeting primary schools with free educational material related to the two new books, and a podcast exploring the topics of the book series.
The books aim to stimulate STEM interest in children and pre-teens with an educational format that is both ‘family-friendly’ and relevant for lower secondary school.
Visit Meta Publisher’s website"	Grant category: Education and Awareness Grants	Geography: Denmark	Children’s books: Max and Meta (Max og Meta)
Year: 2024	Grantee: Victoria Francke, Biotech Academy (DTU Bioengineering)	Amount: DKK 211,260	"Biotech Academy Camp is an annual recurring event where 30 high school students from all over Denmark attend a week-long science camp. The purpose of the camp is to introduce potential students to theory and laboratory work and to spur young people’s interest in STEM in an engaging and practical way.
This year the theme is microbiology, and it is free for high school students to participate. Biotech Academy Camp is run by students at the Technical University of Denmark – DTU and the University of Copenhagen.
Visit Biotech Academy Camp’s website"	Grant category: Education and Awareness Grants	Geography: Denmark	Biotech Academy Camp 2024 – Microbiology
Year: 2024	Grantee: Charlotte Näslund Koch, Herlev-Gentofte Hospital	Amount: DKK 210,000	"My Beautiful Skin (Min smukke hud) is the name of a photo project that aims to address the stigma of skin diseases and promote a more inclusive and natural beauty ideal. The recognized photographer Marie Hald has been commissioned to take a series of art photos, depicting 20 patients with different skin disease.
The photos will be exhibited at Department of Dermatology and Allergy – Herlev and Gentofte Hospital, accompanied by evidence-based information about the relevant skin disease. The photo exhibition is driven by clinical researchers in collaboration with the hospital’s communication team."	Grant category: Education and Awareness Grants	Geography: Denmark	Photo exhibition: My Beautiful Skin (Min smukke hud)
Year: 2024	Grantee: Shruti Naik, Associate Professor, Icahn School of Medicine, Mount Sinai	Amount: USD 100,000	"Dr. Shruti Naik is Associate Professor at the Ronald O Perelman Department of Dermatology, NYU Langone Health, in the US.
She receives the award in recognition of her exceptional scientific achievements, clear long-term career objectives, and innovative vision for skin research – which delves into the complex interactions between immune cells, surrounding skin cells, and skin-dwelling microbes to understand the origins and progression of skin diseases.
Read more"	Grant category: LEO Foundation Awards	Geography: USA	The LEO Foundation Award 2024 – Region Americas
Year: 2024	Grantee: European Society for Dermatological Research	Amount: EUR 25,000	"The 2024 ESDR Academy for Future Leaders in Dermatology entitled “Translational innovation in dermatology” will be held 10-12 October 2024 in Uppsala, Sweden. The goal of this initiative is to foster excellence in academic dermatology and encourage gifted young dermatologists to further pursue their careers through guidance and mentoring. The program is primarily open to European residents currently engaged in skin-related research (MD, PhD, Post-Doc). The selected applicants will give oral presentation of their work and current research. The program will be completed by talks from selected senior scientists, from Future Leaders alumni serving as mentors and from guest speakers. Besides scientific sessions there is a strong emphasis on encouraging young people to network and to exchange ideas.
More information: https://esdrmeeting.org/"	Grant category: Research Networking	Geography: Switzerland	ESDR Future Leaders Academy 2024
Year: 2024	Grantee: Society for Investigative Dermatology	Amount: EUR 25,000	"The Future Leaders Retreat (previously known as Resident and Post Doc Retreat) is a conference hosted by the Society for Investigative Dermatology (SID) each year since 2001. The program format provides a protected space in which residents can interact with senior faculty and established investigators for the purpose of fostering attendee’s interest in academic research careers. The program is a combination of formal lectures and presentation, informal discussions, brainstorming sessions and social activities. The Retreat is held at the time of the SID annual meeting, which allows attendees to establish connections with each other, and to other meeting attendees. These social networks foster collegiality, collaborations, an appreciation for the creative, multidisciplinary nature of science and other productive interactions. Sustained exposure to the entire spectrum of dermatologic research will influence the trainees as they make their career decision, as well as build their enthusiasm for this area of science.
More information: https://www.sidannualmeeting.org/"	Grant category: Research Networking	Geography: USA	SID Future Leaders Retreat
Year: 2024	Grantee: Marie Rathcke Lillemark, Statens Naturhistoriske Museum	Amount: DKK 1,811,250	"The Natural History Museum of Denmark, University of Copenhagen will establish a free online platform for high schools to support the education of ‘data literate’ citizens with hands-on skills in answering interdisciplinary questions through scientific methodology. The platform will provide free access for Danish high schools to data obtained in the Next Generation Lab initiative, an ongoing citizen science initiative in which students analyze archaeological findings at the museum’s lab using scientific methods, thereby generating large amounts of raw research data. The portal will enable students from all over Denmark to work directly with this data, guided by new educational material that supports its relevance within or across topics such as biology, biotechnology, chemistry, history, Danish language and literature, physics, and social studies.
Visit the Natural History Museum of Denmark’s webpage"	Grant category: Education and Awareness Grants	Geography: Denmark	Digitalt univers til databearbejdning af citizen science-genererede forskningsdata i gymnasiet
Year: 2024	Grantee: Mille Marta Andersen, Go Zebra	Amount: DKK 978,420	"Go Zebra, a non-profit organization dedicated to stimulating children’s curiosity and bridging it to problem-solving and societal challenges through educational material with a special focus on engineering and innovation, joins forces with astrophysicist and science communicator Tina Ibsen in developing a free educational course on astronomy aimed for 4th-grade teachers and pupils. The developed material will become available for free on MeeBook (the learning platform most widely used by Danish schools), and classes participating in the project will have workshops facilitated by Go Zebra at their schools.
The overall ambition is to instill confidence in children that they can understand the world and have the capabilities to solve problems.
Visit Go Zebra’s webpage"	Grant category: Education and Awareness Grants	Geography: Denmark	Astronomi og naturvidenskab i børnehøjde
Year: 2024	Grantee: Christian Daniel Koldbech, DTU Skylab	Amount: DKK 998,333	"DTU Skylab will produce two video series, in total ten videos, to promote interest in STEM innovation and entrepreneurship. One of the series will consist of documentaries presenting the most significant innovations that have been realized within the DTU Skylab framework. The other series will consist of interviews with in-house experts and Skylab-based student entrepreneurs sharing their experiences and advice for students.
The videos will provide behind-the-scenes insights into the nature of scientific and technological innovation and entrepreneurship.
Visit DTU Skylab’s webpage"	Grant category: Education and Awareness Grants	Geography: Denmark	Sustaining the Voice of Science: Increase the Impact of STEM Communication Activities at DTU Skylab
Year: 2024	Grantee: Vibeke Hjortlund, Videnskab.dk	Amount: DKK 1,262,415	"Videnskab.dk will produce a podcast series of 12 episodes that disseminate science-based knowledge to the public, about skin health and skin/venereal diseases. The series will be hosted by an MD in dermatology and will address several topics selected by a medical panel to reflect frequently asked questions from patients. Each episode will introduce novel research within the field with potential for enabling new or improved treatment, facilitated by Danish researchers. The podcasts are supplemented with popular science articles and short videos.
Visit Videnskab.dk’s webpage"	Grant category: Education and Awareness Grants	Geography: Denmark	Hudlægens bord
Year: 2024	Grantee: Niclas Roxhed, Associate Professor, KTH Royal Institute of Technology	Amount: DKK 4,031,088	"Niclas Roxhed’s technology-focused project aims to investigate the potential of spiked microspheres as vehicles for large-molecular drug delivery into skin to treat diseases.
Modern biologic drugs have transformed the way we treat many diseases. However, these drug molecules are too large to pass biologic barriers and therefore need to be injected. For skin diseases, the outermost skin layer effectively prevents larger molecules from entering the skin.
To address this problem, Niclas Roxhed and his team have tailor-made ultra-sharp spiked microspheres that painlessly penetrate only the outermost skin layer and allow delivery of large molecules into skin. In this project, they will use these spiked microspheres in an atopic dermatitis model to topically deliver large-molecular nucleic acids and nanocarriers to inhibit inflammatory reactions. To verify effective delivery, Niclas Roxhed and his team will quantify inflammatory markers in skin using micro-sampling and proteomics profiling.
The results could form the basis for highly effective delivery of biopharmaceuticals as topical creams and potentially revolutionize treatment strategies in skin disease."	Grant category: Research Grants in open competition	Geography: Sweden	Enabling topical drug delivery of biologics across skin
Year: 2024	Grantee: Rosaria Gandini, Assistant Professor, Aarhus University	Amount: DKK 3,462,144	"Rosaria Gandini’s project investigates the molecular details of the IgE-FceRI complex and its functioning on mast cells and basophils in order to improve treatment opportunities for urticaria.
Urticaria, a common inflammatory skin disorder characterized by itchy wheals, angioedema, or both, manifests in acute (AU) and chronic (CU) forms. It significantly impairs patients’ quality of life, causing sleep disturbances due to pruritus, fatigue, and anxiety. The symptoms arise from the activation of skin mast cells and basophils, leading to the release of histamine and other inflammatory mediators. This activation is initiated by cross-linking and clustering of the complexes between immunoglobulin E (IgE) and its high-affinity receptor, FceRI, which is expressed on the surface of these cells.
The FceRI-IgE complex hence acts as a powerful molecular switch, which initiates the inflammatory cascade and thus provides an attractive target for drug intervention. The structural basis of this activity, however, remains open.
Rosaria Gandini’s project aims to determine the structure of the FceRI-IgE membrane complex using state of the art Cryo Electron Microscopy (cryo-EM).
Successful elucidation of the molecular details of the entire complex and its conformations will allow identification of specific regions on FceRI for targeted intervention. This knowledge will deepen the understanding of the interaction of antibodies with Fc receptors in general and may pave the way for the development of specific and effective treatment of urticaria and related disorders."	Grant category: Research Grants in open competition	Geography: Denmark	Structural dissection and dynamic insights into the molecular switch of mast cells and basophils: a blueprint for novel urticaria therapies
