,Foundation_name,Receiver,Description,Grant size (DKK),Project Subcategory,Project Category,Year,Title,Receiver + Title,Institution,Region,Translated Description,Country,Receiver Name,Receiver Profession
16923,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16924,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16925,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16926,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16927,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16938,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16939,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16940,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16941,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16942,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16943,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16944,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16945,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16946,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16947,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16958,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16959,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16960,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16961,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16962,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16963,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16964,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16965,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16966,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16967,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16978,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16979,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16980,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16981,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16982,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16983,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16984,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16985,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16986,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16987,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
20514,NOVO,"Skt. Josefs Skole, Roskilde Kommune",NNF Natur- og Teknologilærerpris 2024 - Øst,,,,2024,,,,,,,"Karima Bruun Henriksen, Harry Andrew Osborne & Morten Fich Lønnee",
20656,NOVO,,Discovering crop protection and resilience mechanisms through virus diversity,,,,2023,,,,,,,Anders Hafren,
20883,NOVO,Aarhus Universitetshospital,Changing cancer treatment by using Circulating tumor DNA Response Evaluation Criteria for Solid Tumors - ctDNA-RECIST,,,,2023,,,,,,,Karen-Lise Spindler,
25387,NOVO,,,,,,2013,,,,,,,Jens Juul Holst,Professor
25424,NOVO,,,,,,2013,,,,,,,Lars Køber,Professor
25502,NOVO,,,,,,2013,,,,,,,Søren K. Moestrup,"Professor, dr.med."
25560,NOVO,,"Gave the prize lecture ""Thyroid autoimmunity for clinicals"" i Oslo",,,,2012,,,,,,,Anthony Weetman,Professor
25588,NOVO,,,,,,2012,,,,,,,Erik A. Richter,"Professor, dr.med."
25604,NOVO,,,,,,2012,,,,,,,Henrik Toft Sørensen,"Professor, overlæge, dr.med."
25696,NOVO,,,,,,2012,,,,,,,Moustapha Kassem,"Professor, overlæge, dr. med."
25859,NOVO,,,,,,2011,,,,,,,Jens D. Lundgren,"Professor, overlæge, dr. med."
25865,NOVO,,"Gave the prize lecture ""NAD sensors to integrate metabolism"" i Helsinki",,,,2011,,,,,,,Johan Auwerx,Professor
25941,NOVO,,,,,,2011,,,,,,,Peter Lawætz Andersen,dr. med.
25974,NOVO,,,,,,2011,,,,,,,Ulla Feldt-Rasmussen,"Professor, overlæge, dr.med."
26032,NOVO,,,,,,2010,,,,,,,Erling Falk,"Professor, dr. med."
26041,NOVO,,"Gave the prize lecture ""The Novel Endocrinology of Bone"" i København",,,,2010,,,,,,,Gerard Karsenty,Professor
26062,NOVO,,,,,,2010,,,,,,,Henrik Clausen,"Professor, dr.odont."
26181,NOVO,,,,,,2010,,,,,,,Torsten Toftegaard Nielsen,"Professor, overlæge, dr.med."
26211,NOVO,,,,,,2009,,,,,,,Bent Smedegaard Ottesen,"Professor, dr.med."
26338,NOVO,,"Gave the prize lecture ""RNAi-based therapeutic strategies for inflammation and metabolic disease"" i Umeå",,,,2009,,,,,,,Michael P. Czech,Professor
26378,NOVO,,,,,,2009,,,,,,,Søren Nielsen,"Adm.dir., professor, dr.med."
26385,NOVO,,,,,,2009,,,,,,,Sten Madsbad,"Professor, overlæge, dr.med."
26451,NOVO,,"Gave the prize lecture ""Diabetes and its complications - when insulin action goes wrong"" i Göteborg",,,,2008,,,,,,,Emmanuel Van Obberghen,Professor
26466,NOVO,,,,,,2008,,,,,,,Gorm Boje Jensen,"Lektor, overlæge, dr. med"
26471,NOVO,,,,,,2008,,,,,,,Hans Jørgen Gottlieb Gundersen,"Professor, dr.med."
26516,NOVO,,,,,,2008,,,,,,,Kristian Helin,"Professor, direktør"
26702,NOVO,,,,,,2007,,,,,,,Hendrik Vilstrup,"Professor, overlæge, dr.med."
26770,NOVO,,,,,,2007,,,,,,,Marja Jäättelä,"Professor, dr.med"
26795,NOVO,,,,,,2007,,,,,,,Oluf Borbye Pedersen,"Professor, overlæge, dr.med"
26869,NOVO,,,,,,2006,,,,,,,Allan Flyvbjerg,"Professor, overlæge, dr.med."
26874,NOVO,,,,,,2006,,,,,,,Andreas Kjær,"Professor, overlæge, dr.med."
26943,NOVO,,,,,,2006,,,,,,,Henning Beck-Nielsen,"Professor, dr.med."
27189,NOVO,,,,,,2005,,,,,,,Henning Beck-Nielsen,"Professor, overlæge, dr.med."
27245,NOVO,,,,,,2005,,,,,,,Mads Melbye,"Professor, dr.med."
27326,NOVO,,,,,,2005,,,,,,,Vibeke Hjortdal,"Professor, overlæge, dr.med."
27353,NOVO,,,,,,2004,,,,,,,Bente Klarlund Pedersen,"Professor, overlæge, dr.med."
27471,NOVO,,,,,,2004,,,,,,,Matthias Mann (delt),Professor
27504,NOVO,,,,,,2004,,,,,,,Peter Roepstorff (delt),Professor
29340,TRYGFONDEN,"Børne- og Ungdomspsykiatri Odense, Psykiatrien i Region Syddanmark, Landsdækkende",Sårbare børn og mental sundhed,,,BØRN OG UNGE - Alle med fra start,2023,,,,,,,,
29683,TRYGFONDEN,"SDU, Landsdækkende",Fellow Program,,,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati",2023,,,,,,,,
30506,TRYGFONDEN,"Region Nordjylland ved Aalborg Universitetshospital, Landsdækkende",TrygFondens Familiehus Aalborg,,,TRYGHED I HVERDAGEN - Andet,2021,,,,,,,,
31302,TRYGFONDEN,"Rigshospitalet, Landsdækkende",TFs Center for Aktiv Sundhed,,,ANDET,2020,,,,,,,,
31973,TRYGFONDEN,"Rigshospitalet, Glostrup., Landsdækkende",Trygfondens Familiehus,,,SUNDHED,2019,,,,,,,,
32023,TRYGFONDEN,"Mary Fonden, Landsdækkende",Femårigt partnerskab,,,BØRN OG UNGE,2019,,,,,,,,
32710,TRYGFONDEN,"Rigshospitalet, Landsdækkende",Klinik for Intensiv Livsstil,,,ANDET,2018,,,,,,,,
33469,TRYGFONDEN,"Forskningscenter for Forebyggelse og Sundhed, Region Hovedstaden, Landsdækkende",The DanFunD study,,,SUNDHED,2017,,,,,,,,
34179,TRYGFONDEN,"Psykiatrien i Region Syddanmark, Landsdækkende",Sekretariat for SDQ/DAWBA,,,GAMMELT,2016,,,,,,,,
34264,TRYGFONDEN,"Århus Motorbådsklub , Midtjylland",Lån en redningsvest til børn,,,GAMMELT,2015,,,,,,,,
34469,TRYGFONDEN,"Psykiatrien i Region Syddanmark, Landsdækkende",Sekretariat for SDQ/DAWBA,,,GAMMELT,2015,,,,,,,,
34737,TRYGFONDEN,"Foreningen: Ulbølles Aktive Mødested, Syddanmark",sikkerhedsudstyr til mødeplads,,,GAMMELT,2015,,,,,,,,
35119,TRYGFONDEN,"Den Præhospitale Virksomhed - Akutberedskabet, Landsdækkende",Redder hjertestartere liv?,,,GAMMELT,2014,,,,,,,,
35424,TRYGFONDEN,"Aarhus Universitetshospital, Landsdækkende",Helikopterlandingsplads,,,GAMMELT,2014,,,,,,,,
35471,TRYGFONDEN,"Dansk Skoleidræt, Landsdækkende",Projekt Gåbus,,,GAMMELT,2014,,,,,,,,
