,Year,Reciever,Grant size (DKK),Description,Receiver Name,Receiver Proffession,Project Category
19,2024,University of Copenhagen,1.949.693 DKK,How does our Environment affect the risk of PSYchiatric disorders? (EPSY),Rina So,POSTDOC,Postdocs
20,2024,University of Copenhagen,2.500.000 DKK,Does astrocytic dysregulation contribute to stress-induced sleep disturbances?,Mie Andersen,POSTDOC,Postdocs
21,2024,Aarhus University,2.796.000 DKK,Repurposing of human proteins for “stealth” delivery of genome editing toolkits,Jakob Haldrup,POSTDOC,Postdocs
22,2024,Aarhus University,2.547.432 DKK,Neuro-immune implications in the role of the enteric nervous system in neurodevelopmental disorders,Audrey Inge Schytz Andersen-Civil,POSTDOC,Postdocs
23,2024,University of Copenhagen,2.382.966 DKK,Uncovering the molecular foundations for exercise in skeletal muscle to mitigate sarcopenia,Tang Cam Phung Pham,POSTDOC,Postdocs
24,2024,Aarhus University,2.493.260 DKK,Opto- and Chemi-Knock: New Tools for Rapid Blockade of Protein Function during Memory Consolidation,Kristoffer Højgaard,PHD FELLOW,Postdocs
25,2024,Aarhus University,10.000.000 DKK,Unravelling the Structure and Dynamics of Chromatin Repair,Pablo Alcón,POSTDOC,Fellowship
26,2024,University of Copenhagen,10.000.000 DKK,The cellular stress response and mRNA translation in health and disease,Peter Haahr,ASSOCIATE PROFESSOR,Fellowship
27,2024,University of Copenhagen,10.000.000 DKK,Pain processing in insular cortex,Mikkel Vestergaard,POSTDOC,Fellowship
28,2024,Aarhus University,10.000.000 DKK,Genetic underpinnings of comorbidity in severe mental illness,Katherine Musliner,ASSOCIATE PROFESSOR,Fellowship
29,2024,University of Southern Denmark,10.000.000 DKK,Deciphering Cellular Senescence- The Next Frontier in Cancer Evolution and Therapeutic Resistance,Panos Galanos,POSTDOC,Fellowship
30,2024,Rigshospitalet,2.500.000 DKK,Identification of causal factors for intussusception and infantile hypertrophic pyloric stenosis,Anders Husby,RESEARCHER,Early-Career Clinician Scientists
31,2024,Aarhus University Hospital,2.497.655 DKK,Impact of Alzheimer co-pathology in patients with Lewy body disease,Niels Okkels,RESIDENT,Early-Career Clinician Scientists
32,2024,Odense University Hospital,2.433.187 DKK,Autoimmune Encephalitis in Denmark: From Neuron to Patient,Mette Nissen,RESIDENT,Early-Career Clinician Scientists
33,2024,Aarhus University Hospital,2.399.638 DKK,Exploring Immune Recovery in Pediatric ALL to Predict Immunological Vulnerability post Chemotherapy,Katrine Schou Sandgaard,RESIDENT,Early-Career Clinician Scientists
34,2024,Rigshospitalet,2.217.969 DKK,Familial frontotemporal dementia: Towards early immune markers and new therapeutic avenues,Anders Toft,RESEARCHER,Early-Career Clinician Scientists
35,2024,Mental Health Services in the Capital Region of Denmark,2.494.116 DKK,How much can diagnoses in genetic relatives tell us about risk of neuropsychiatric disorders?,Morten Dybdahl Krebs,POSTDOC,Early-Career Clinician Scientists
36,2024,Herlev and Gentofte Hospital,916.199 DKK,The APPLE TREE study,Daniel Christensen,DOCTOR,Early-Career Clinician Scientists
37,2024,Rigshospitalet,2.459.506 DKK,Development of immunotherapy for meningioma patients and minimizing surgical inflammatory response,Andrea Maier,POSTDOC,Early-Career Clinician Scientists
38,2024,Rigshospitalet,2.499.214 DKK,Reproductive mental health: Optimizing treatment of depression in women using oral contraceptive,Søren Vinther Larsen,PHD FELLOW,Early-Career Clinician Scientists
39,2024,Rigshospitalet,1.100.800 DKK,A Danish register-based cohort study of placental hCG and PAPP-A and subtypes of cryptorchidism,Simone Hildorf,DOCTOR,Early-Career Clinician Scientists
40,2024,Rigshospitalet,1.568.143 DKK,Involvement of Glutamate Signaling in Migraine Aura and Migraine Pain,Mohammad Al-Mahdi Al-Karagholi,POSTDOC,Early-Career Clinician Scientists
41,2024,Rigshospitalet,5.000.000 DKK,New obesity drug targeting fat cells,Tora Henriksen,POSTDOC,Frontier Grant
42,2024,University of Copenhagen - BRIC,5.000.000 DKK,Sights set on targeted tumour killing,Lars Henning Engelholm,NA,Frontier Grant
43,2024,Danish Technical University - DTU,5.000.000 DKK,Gene therapy targeting knee osteoarthritis,Ditte Jæhger,NA,Frontier Grant
44,2023,Aalborg University,,DARE: Tager kampen op mod sjælden hjernesygdom ved eliteuniversiteter i USA,Laurits Mathiesen,NA,
45,2023,University of Copenhagen,,"DARE: Vil forudsige, hvilke hjertepatienter der får behov for en pacemaker – første skridt mod forebyggelse",Anna-Sophie Thein,NA,
46,2023,University of Copenhagen,,DARE: Knækker koden til rygmarvens forbindelser,Jakob Sørensen,NA,
47,2023,Aalborg University,,DARE: På jagt efter sygdomsfremkaldende tarmbakterier hos kronikere,Pam Huntjens,NA,
48,2023,Aalborg University,,DARE: Måler tidlige tegn på skizofreni,Frederikke Elnegaard,NA,
49,2023,Technical University of Denmark,1.997.171 DKK,Measuring the reliability of trustworthy healthcare AI for mental health risk prediction,Aasa Feragen,PROFESSOR,Experiment
50,2023,Amager & Hvidovre Hospital,1.996.800 DKK,The Adventure begins with Tea-seq: Identifying the human enteric glia cells,Rikard Fred,ASSISTANT PROFESSOR,Experiment
51,2023,Bispebjerg & Frederiksberg Hospital,2.000.000 DKK,Toxic tau seeds spatiotemporal origin and intracellular kinetics in Progressive supranuclear palsy,Michel Rasmussen,POSTDOC,Experiment
52,2023,Mental Health Services in the Capital Region of Denmark,1.995.000 DKK,Biomarkers predicting psychotic relapse in patients with schizophrenia,Mette Ødegaard Nielsen,SENIOR RESEARCHER,Experiment
53,2023,Aarhus University,1.996.500 DKK,Targeting C9orf72 and neuroinflammation in ALS by novel dual directed CRISPR RNA therapy,Martin Roelsgaard Jakobsen,PROFESSOR,Experiment
54,2023,Aarhus University,2.000.000 DKK,Shaping reward circuits through early life social touch,Asami Tanimura,ASSOCIATE PROFESSOR,Experiment
55,2023,Technical University of Denmark,1.960.000 DKK,Encompassing Minds,Carina Lomberg,ASSOCIATE PROFESSOR,Experiment
56,2023,University of Copenhagen,2.000.000 DKK,Pairing epitranscriptomic modifications with translational output to model neurogenesis,James William Bryson,POSTDOC,Experiment
57,2023,University of Copenhagen,1.999.998 DKK,Imaging Activity-dependent Blood-Brain interAction (ABBA) during learning,Hajime Hirase,PROFESSOR,Experiment
58,2023,Technical University of Denmark,2.000.000 DKK,Zero current electrical neurostimulation,Anpan Han,ASSOCIATE PROFESSOR,Experiment
59,2023,Mental Health Services in the Capital Region of Denmark,1.862.893 DKK,Medium-chain triglycerides as treatment in alcohol dependence,Morgan Hermann Thomsen,SENIOR RESEARCHER,Experiment
60,2023,Aarhus University,1.929.840 DKK,Exploring a potential biomarker and drug target for Alzheimer’s disease and frontotemporal dementia,Heidi Kaastrup Müller,ASSOCIATE PROFESSOR,Experiment
61,2023,Aarhus University,1.930.750 DKK,Development of a novel self-amplifying circular RNA vector for durable transgene expression,Martin Tolstrup,PROFESSOR,Experiment
62,2023,University of Copenhagen,2.000.000 DKK,Elucidating bone-brain organ crosstalk during lifestyle modifications,Nigel Kurgan,POSTDOC,Experiment
63,2023,Technical University of Denmark,1.987.604 DKK,Do brain border mast cells mediate brain fog in allergic asthma?,Anna Hammerich Thysen,ASSISTANT PROFESSOR,Experiment
64,2023,Aarhus University,1.999.983 DKK,Identification of heterochronic association of multiple epigenetic modalities on the neuronal genome,Yumiko Kitazawa,POSTDOC,Experiment
65,2023,University of Copenhagen,1.999.905 DKK,Mapping the Mind's Mosaic: Revealing spatial dynamics of modified proteins during neurodegeneration,Luke Gamon,ASSISTANT PROFESSOR,Experiment
66,2023,University of Copenhagen,1.940.909 DKK,Using temperature-sensitive liposomes to localize drug-treatment of neuromuscular disorders,Thomas E. Jensen,ASSOCIATE PROFESSOR,Experiment
67,2023,University of Copenhagen,1.999.988 DKK,Investigating the RNA-binding defect of RBM5 as a main cause of Neurodegeneration,Nicolas Fossat,ASSISTANT PROFESSOR,Experiment
68,2023,Technical University of Denmark,1.999.999 DKK,R3tina: Visually capable 3D bioprinted human retinas,Anne Zebitz Eriksen,POSTDOC,Experiment
69,2023,Aarhus University,1.737.330 DKK,Moonlighting brain genes: Does gene expression in spermatogenesis shape the genetic basis of autism?,Kasper Munch,ASSOCIATE PROFESSOR,Experiment
70,2023,Aalborg University,1.999.997 DKK,Good Gut Feelings – a surprising way to avoid protein misfolding and neurodegenerative disease,Anders Olsen,ASSOCIATE PROFESSOR,Experiment
71,2023,Aarhus University,1.804.367 DKK,TExpose - Exposing the activation mechanisms of animal Transposable Element families,Marianne Yoth,POSTDOC,Experiment
72,2023,Aarhus University,1.999.800 DKK,Predicting Chronic Pain through Linguistic Analysis of Electronic Medical Records,Francesca Fardo,ASSOCIATE PROFESSOR,Experiment
73,2023,Technical University of Denmark,1.997.171 DKK,Measuring the reliability of trustworthy healthcare AI for mental health risk prediction,Aasa Feragen,PROFESSOR,Experiment
74,2023,Aarhus University,1.820.000 DKK,Defining the brain circuit for dissociation using ketamine,Naoki Yamawaki,ASSOCIATE PROFESSOR,Experiment
75,2023,Technical University of Denmark,1.999.999 DKK,R3tina: Visually capable 3D bioprinted human retinas,Anne Zebitz Eriksen,POSTDOC,Experiment
76,2023,Aarhus University,1.929.840 DKK,Exploring a potential biomarker and drug target for Alzheimer’s disease and frontotemporal dementia,Heidi Kaastrup Müller,ASSOCIATE PROFESSOR,Experiment
77,2023,Aalborg University,1.999.997 DKK,Good Gut Feelings – a surprising way to avoid protein misfolding and neurodegenerative disease,Anders Olsen,ASSOCIATE PROFESSOR,Experiment
78,2023,Technical University of Denmark,1.987.604 DKK,Do brain border mast cells mediate brain fog in allergic asthma?,Anna Hammerich Thysen,ASSISTANT PROFESSOR,Experiment
79,2023,University of Copenhagen,1.999.905 DKK,Mapping the Mind's Mosaic: Revealing spatial dynamics of modified proteins during neurodegeneration,Luke Gamon,ASSISTANT PROFESSOR,Experiment
80,2023,Aarhus University,1.999.800 DKK,Predicting Chronic Pain through Linguistic Analysis of Electronic Medical Records,Francesca Fardo,ASSOCIATE PROFESSOR,Experiment
81,2023,Aarhus University,2.377.068 DKK,Genetic Liability and Biomarkers of Post-traumatic Epilepsy,Kasper Lolk,POSTDOC,Postdocs
82,2023,University of Copenhagen,2.461.000 DKK,Elucidating HLTF’s role in resolving secondary DNA structures in repeat expansion diseases,Ulrike Kuehbacher,POSTDOC,Postdocs
83,2023,Bispebjerg and Frederiksberg Hospital,2.550.000 DKK,Preserving Neuromuscular Function during Disuse with Prehabilitative Exercise,Casper Søndenbroe,POSTDOC,Postdocs
84,2023,University of Copenhagen,1.999.197 DKK,Molecular mechanisms of presynaptic long-term plasticity and its implications in synaptopathy,Kavya Vinayan Pushpalatha,POSTDOC,Postdocs
85,2023,Technical University of Denmark,2.397.578 DKK,Chronically Implanted Neuroprosthetic Devices for High-Resolution Magnetic Deep Brain Stimulation,Bingdong Chang,POSTDOC,Postdocs
86,2023,University of Copenhagen,2.457.948 DKK,Rapid Antibody-Based Positron Emission Tomography Imaging of Brain Targets,Markus Staudt,POSTDOC,Postdocs
87,2023,University of Copenhagen,2.398.229 DKK,A novel pipeline for peptide probe/drug design applied to brain receptors,Yashraj Kulkarni,POSTDOC,Postdocs
88,2023,University of Copenhagen,2.400.000 DKK,Illuminating the role of SUMO signalling in neuronal pathogenesis of human cytomegalovirus,Matthew Murray,POSTDOC,Postdocs
89,2023,University of Copenhagen,2.399.171 DKK,Identification of critical cell memory factors by genome-wide CRISPR screening,Fion Jenkinson,POSTDOC,Postdocs
90,2023,Aarhus University,2.236.176 DKK,Neuro-Sense: Flexible Bioinspired neuroprostheses for sensory-motor restoration,Hoda Fares,POSTDOC,Postdocs
91,2023,Aarhus University,2.286.700 DKK,Discovering variant-gene effects in schizophrenia and bipolar disorder and the impact of lithium,Anne Bruun Rovsing,PHD FELLOW,Postdocs
92,2023,Aarhus University,2.400.000 DKK,Controlling pervasive transcription during neuronal differentiation,Sneha Mishra,POSTDOC,Postdocs
93,2023,Aarhus University,2.305.540 DKK,SocMenDis: Socioeconomic Context and Mental Disorders: quantifying the impact,Linda Ejlskov,POSTDOC,Postdocs
94,2023,Technical University of Denmark,2.420.000 DKK,Proteome-wide mapping of T-cell specificity in multiple sclerosis,Nikolaj Pagh Kristensen,RESEARCH ASSISTANT,Postdocs
95,2023,Technical University of Denmark,2.800.000 DKK,Dysfunctional neoepitope-specific T cells as targets for early Cancer Immunoprevention,Amalie Kai Bentzen,POSTDOC,Postdocs
96,2023,Aarhus University,2.620.672 DKK,Regulatory roles of 3D chromatin topology in alternative splicing and circular RNA biogenesis,Lotte Stagsted,POSTDOC,Postdocs
97,2023,Amager and Hvidovre Hospital,2.394.385 DKK,Does cognition use a common reward map? An fMRI study of reward across multiple cognitive tasks,Simon Steinkamp,POSTDOC,Postdocs
98,2023,University of Southern Denmark,2.396.900 DKK,Unraveling magnetosensory protein networks in retinal neurons,Jingjing Xu,POSTDOC,Postdocs
99,2023,Rigshospitalet & University of Copenhagen,10.000.000 DKK,Strategies for preventing implant rejection after breast reconstruction,Mikkel Herly,ASSOCIATE PROFESSOR,Fellowship
100,2023,The Technical University of Denmark,10.000.000 DKK,The devil is in the details: addressing the overlooked potential of sub-gene level analysis,Kristoffer Vitting-Seerup,ASSISTANT PROFESSOR,Fellowship
101,2023,University of Copenhagen,10.000.000 DKK,The role of sleep microarchitecture on cognitive abilities in Alzheimer’s disease,Celia Kjærby,ASSISTANT PROFESSOR,Fellowship
102,2023,Aarhus University,10.000.000 DKK,Harnessing the Molecular Landscape to Improve Renal Cancer Patient Management,Iben Lyskjær,ASSISTANT PROFESSOR,Fellowship
103,2023,University of Southern Denmark,10.000.000 DKK,Uncovering a driving role of adipose tissue in metabolic-associated liver fibrosis,Anne Loft,POSTDOC,Fellowship
104,2023,The Technical University of Denmark,10.000.000 DKK,Characterizing Cell Heterogeneity in Healthy and Malignant Blood Cells using Single Cell Proteomics,Erwin Schoof,ASSOCIATE PROFESSOR,Fellowship
105,2023,Aalborg University,40.000.000 DKK,Brain neuro-adaptability to pain,Thomas Graven-Nielsen,PROFESSOR,Professorships
106,2023,University of Copenhagen,20.000.000 DKK,Rethinking hydrocephalus treatment – Pharmacological modulation of cerebrospinal fluid secretion?,Nanna MacAulay,PROFESSOR,Professorships
107,2023,University of Copenhagen,20.000.000 DKK,(NeuroSim) Single molecule Neuroscience,Dimitrios Stamou,PROFESSOR,Professorships
108,2023,Aarhus University,300.000 DKK,Hun kan påvise tilbagefald af tarmkræft i en blodprøve,Tenna Henriksen,POSTDOC,Talent Prize
109,2023,Aarhus Universitet,300.000 DKK,Hun identificerer molekylære undergrupper af blærekræft,Sia Viborg Lindskrog,PHD STUDENT,Talent Prize
110,2023,University Hospital Herlev & Gentofte,300.000 DKK,Han forsker i måling af tidlige tegn på hjertesygdom,Kristoffer Grundtvig Skaarup,DOCTOR & PHD STUDENT,Talent Prize
111,2023,"Dansk Headachecenter, Rigshospitalet",300.000 DKK,Han forsker i den sjældne hovedpinesygdom IIH,Connar Stanley James Westgate,POSTDOC,Talent Prize
112,2023,Danish Cancer Society,300.000 DKK,Hun studerer sikkerhed ved medicinsk abort og prævention,Amani Meaidi,MD & POSTDOC,Talent Prize
113,2023,"Department of Physiology, Development and Neuroscience at Cambridge University",3.333.333 DKK,Christine Holt,Christine Holt,PROFESSOR OF DEVELOPMENTAL NEUROSCIENCE,The Brain Prize
114,2023,"Harvard Medical School in Boston, MA, USA",3.333.333 DKK,Michael Greenberg,Michael Greenberg,PROFESSOR OF NEUROBIOLOGY,The Brain Prize
115,2023,Max Planck Institute for Brain Research,3.333.333 DKK,Erin Schuman,Erin Schuman,PROFESSOR,The Brain Prize
116,2023,University of Copenhagen,,Læge med fokus på hjertesygdomme og forebyggelse,Tor Biering-Sørensen,PROFESSOR,Young Investigator Prize
117,2023,Aarhus University,4.997.447 DKK,Novel NRF2-driven inhibition of viral replication in the CNS,Christian Kanstrup Holm,PROFESSOR,Ascending Investigators
118,2023,University of Copenhagen,4.998.088 DKK,"Structure, function and design of natural nanoinjection devices",Nicholas Taylor,ASSOCIATE PROFESSOR,Ascending Investigators
119,2023,University of Copenhagen,5.056.716 DKK,"Location, location, location: TDP-43 pathology as a key driver of neurodegeneration",Claire Francesca Meehan,ASSOCIATE PROFESSOR,Ascending Investigators
120,2023,Aarhus University,5.119.830 DKK,Optically-pumped Magnetometry for in Utero Measurement of developing brain function (OptiMUM),Sarang Dalal,PROFESSOR,Ascending Investigators
121,2023,Aarhus University,4.995.201 DKK,"The Role of Neonatal Metabolic, Immune, and Neurotrophic Markers in the Etiology of Eating Disorders",Zeynep Yilmaz,ASSOCIATE PROFESSOR,Ascending Investigators
122,2023,University of Copenhagen,4.957.795 DKK,Determining the pivotal role of muscle myosin in critical illness myopathy,Julien Ochala,ASSOCIATE PROFESSOR,Ascending Investigators
123,2023,Aarhus University,5.432.768 DKK,The ABCs of neuroinflammaging: Age-associated B Cells as drivers of neuroinflammation,Søren Egedal Degn,ASSOCIATE PROFESSOR,Ascending Investigators
124,2023,Aarhus University,5.261.254 DKK,Neuroepigenomics of THC and CBD Exposure during Pregnancy in the Developing Brain,Rodrigo Grassi-Oliveira,ASSOCIATE PROFESSOR,Ascending Investigators
125,2023,Danish Cancer Society,6.000.000 DKK,Targeting microtubule detyrosination in neuroblastoma and neurodegenerative disorders,Marin Barisic,ASSOCIATE PROFESSOR,Ascending Investigators
126,2023,Odense University Hospital (OUH),5.880.000 DKK,Making age a treatable risk factor for neuronal damage after status epilepticus,Christoph Patrick Beier,PROFESSOR,Ascending Investigators
127,2023,University of Copenhagen,5.876.376 DKK,Sex-Dependent Differences in Microglia Response in Alzheimer's Disease,Karla Kristine Freude,PROFESSOR,Ascending Investigators
128,2023,Aarhus University,4.998.295 DKK,A scientific challenge in neuroscience: How to overcome large placebo responses in clinical trials?,Lene Vase,PROFESSOR,Ascending Investigators
129,2023,University of Copenhagen,4.005.867 DKK,Childhood Environment and Cognition (CHENCO) study,Trine Flensborg-Madsen,PROFESSOR,Ascending Investigators
130,2023,Filadelfia The Epilepsy Hospital,100.000 DKK,Stress and neurological disorders: A biopsychosocial perspective,Guido Rubboli,CLINICAL PROFESSOR,Larger International Meetings and Conferences
131,2023,Aarhus University,100.000 DKK,1st Danish International Conference on Personalized Medicine,Ditte Demontis,PROFESSOR,Larger International Meetings and Conferences
132,2023,Aarhus University,58.500 DKK,Neuroscience Day 2023 (NSD2023),Yonglun Luo,PROFESSOR,Larger International Meetings and Conferences
133,2023,Aalborg University Hospital,150.000 DKK,"SNS2024, The joint meeting of the Scandinavian Society of Neurosurgery, -Radiology & Nursing",Carsten Reidies Bjarkam,CLINICAL PROFESSOR,Larger International Meetings and Conferences
134,2023,Rigshospitalet,109.604 DKK,Brain Imaging Data Structure (BIDS) Derivative Workshop,Gitte Moos Knudsen,PROFESSOR,Larger International Meetings and Conferences
135,2023,Bispebjerg & Frederiksberg Hospital,180.000 DKK,Unravelling microglia responses in Parkinson’s Disease and Multiple System Atrophy brains,Susana Aznar,SENIOR RESEARCHER,Stipends for Sabbatical Leave
136,2023,University of Southern Denmark,150.000 DKK,Improved diagnostics in Hepatic Encephalopathy — MindTheLiver,Mette Lauridsen,ASSOCIATE PROFESSOR,Stipends for Sabbatical Leave
137,2023,Aarhus University,240.000 DKK,No words can describe the pain – or can they? Neural interactions between nociception and language,Yury Shtyrov,PROFESSOR,Stipends for Sabbatical Leave
138,2023,Technical University of Denmark,75.000 DKK,In-situ evaluation of antigen specific T cells,Sine Reker Hadrup,PROFESSOR,Stipends for Sabbatical Leave
139,2023,Rigshospitalet,2.040.000 DKK,Pulje til sundhedsfaglig forskning - UCSF/Rigshospitalet,Helen Bernt Andersen,MANAGEMENT CONSULTANT,Other Grants
140,2023,Hansen & Pedersen,1.616.123 DKK,Into the Water,Malene Flindt Pedersen,PRODUCER,SEC - Science Education & Communication
141,2023,Aarhus University,10.000.000 DKK,Videnscenter for digital teknologiforståelse,Ole Sejer Iversen,PROFESSOR,SEC - Science Education & Communication
142,2023,Hansen & Pedersen,1.616.123 DKK,Into the Water,Malene Flindt Pedersen,PRODUCER,SEC - Science Education & Communication
143,2023,Danmarks nationalleksikon lex.dk,2.000.000 DKK,Formidling af viden om hjernen i Danmarks nationalleksikon lex.dk,Ole Kaag Mølgaard,HEAD OF ADMINISTRATION,SEC - Science Education & Communication
144,2023,Bispebjerg & Frederiksberg Hospital,471.500 DKK,Forklar kroniske smerter,Gitte Handberg,CONSULTANT DOCTOR,SEC - Science Education & Communication
145,2023,CFC Kort & Dok,1.449.975 DKK,"Læremiddel til unge om stress, angst og depression (arbejdstitel)",Marianne Abildgaard,PROJECT MANAGER,SEC - Science Education & Communication
146,2023,Aarhus Universitetsforlag,204.770 DKK,"Psykisk sygdom, menneske og krop (foreløbig titel)",Sigurd Uldall,DOCTOR,SEC - Science Education & Communication
147,2023,Fonden Universe Science Park,365.000 DKK,Forprojekt til Amazing Brain,Brian Jørgensen,HEAD OF COMMUNICATION,SEC - Science Education & Communication
148,2023,BørneBasketFonden,200.000 DKK,Inkluderende fællesskabelse gennem idræt og bevægelse for børn med ADHD og/eller autisme,Cathrine Keinicke,PROJECT DIRECTOR,SEC - Science Education & Communication
149,2023,Dagbladet Information,3.337.500 DKK,Ph.d. Cup 2024,Maja Find,PROJECT DIRECTOR,SEC - Science Education & Communication
150,2023,BørneBasketFonden,200.000 DKK,Inkluderende fællesskabelse gennem idræt og bevægelse for børn med ADHD og/eller autisme,Cathrine Keinicke,PROJECT DIRECTOR,SEC - Science Education & Communication
151,2023,Krithfilm ApS,1.399.950 DKK,Teenagehjernen - Stærk og sårbar,Kristine Søndergaard Madsen,CEO,SEC - Science Education & Communication
152,2023,Hansen & Pedersen,1.616.123 DKK,Into the Water,Malene Flindt Pedersen,PRODUCER,SEC - Science Education & Communication
153,2023,Aarhus University,10.000.000 DKK,Videnscenter for digital teknologiforståelse,Ole Sejer Iversen,PROFESSOR,SEC - Science Education & Communication
154,2023,Danmarks nationalleksikon lex.dk,2.000.000 DKK,Formidling af viden om hjernen i Danmarks nationalleksikon lex.dk,Ole Kaag Mølgaard,HEAD OF ADMINISTRATION,SEC - Science Education & Communication
155,2023,Bispebjerg & Frederiksberg Hospital,471.500 DKK,Forklar kroniske smerter,Gitte Handberg,CONSULTANT DOCTOR,SEC - Science Education & Communication
156,2023,CFC Kort & Dok,1.449.975 DKK,"Læremiddel til unge om stress, angst og depression (arbejdstitel)",Marianne Abildgaard,PROJECT MANAGER,SEC - Science Education & Communication
157,2023,University of Copenhagen,160.000 DKK,Investigating the function of sleep by causal manipulation of vagal-locus coeruleus network,Celia Kjærby,ASSOCIATE PROFESSOR,Visiting Professorships
158,2023,Aarhus University Hospital,2.500.000 DKK,DanMRKH: Multidisciplinary studies of Mayer-Rokitansky-Küster-Hauser (MRKH) syndrome in Danish women,Morten Krogh Herlin,DOCTOR,Early-Career Clinician Scientists
159,2023,Psychiatry in Central Denmark Region,2.046.245 DKK,Bipolar Disorder Onset study - finding a composite digital biomarker (The BIO-2 study),Sharleny Stanislaus,POSTDOC,Early-Career Clinician Scientists
160,2023,Aarhus University Hospital,2.288.097 DKK,IL-22 as mediator of response to faecal microbiota transplantation in liver cirrhosis,Sidsel Støy,CLINICAL ASSISTANT,Early-Career Clinician Scientists
161,2023,Aalborg University,2.462.346 DKK,Longitudinal Characterization of the Systemic Inflammatory Bowel Disease Virome,Rahma Elmahdi,DOCTOR,Early-Career Clinician Scientists
162,2023,Mental Health Services in the Capital Region of Denmark,2.500.000 DKK,Glutamate and GABA brain levels during the first ten years of illness in patients with psychosis,Kirsten Borup Bojesen,RESIDENT,Early-Career Clinician Scientists
163,2023,Aalborg University,2.107.050 DKK,Implementation of point-of-care ultrasonography in general practice,Camilla Aakjær Andersen,ASSISTANT PROFESSOR,Early-Career Clinician Scientists
164,2023,Aarhus University Hospital,687.500 DKK,Improving Survival for Pancreatic Cancer Patients,Jakob Kirkegård,RESIDENT,Early-Career Clinician Scientists
165,2023,Rigshospitalet,1.715.000 DKK,Mapping Signaling Mechanisms in Post-Traumatic Headache: A Bedside to Bench Approach.,Håkan Ashina,POSTDOC,Early-Career Clinician Scientists
166,2023,University of Copenhagen,100.000 DKK,Scientific Enrichment Prize,Nanna MacAulay,PROFESSOR,Scientific Enrichment Prize
167,2023,ALBA Network,225.000 DKK,The ALBA Network,Carmen Sandi,PROFESSOR,Diversity Call
168,2023,University of Copenhagen,276.830 DKK,OPEN-STEM: enabling a geographically and ethnically diverse stem cell research center.,Jan Zylicz,ASSOCIATE PROFESSOR,Diversity Call
169,2023,University of Copenhagen,499.615 DKK,Increasing diversity competences among academic staff at the Faculty of Health and Medical Sciences,Janne Sørensen,SENIOR ADVISER,Diversity Call
