"Country","Description","Foundation_name","Grant_size_(DKK)","Institution","Project_Category","Project_Subcategory","Receiver","Receiver_Name","Receiver_Profession","Receiver_Title","Region","Title","Unnamed: 0","Unnamed: 1","Year","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"","Opførelse af en dobbelt verdenspremiere kaldet ’Vals’, skabt af de internationale stjernekoreografer Stephen Shropshire (tidl. Kunstnerisk leder af Noord Nederlandse Dans) og Marcos Morau (Artistic Director of La Veronal).","AUGUSTINUS",100000,"","Dans","Kunst og Kultur","Dansk Danseteater","","","","","",305,305,2016,332,"1","2024-10-29T10:50:57.640365Z",306,18.413,"Culture","2024-10-29T10:50:57.640403Z"
"","Realisering af danseforestillingen STAFET, Store Carl, Dansehallerne, februar 2017.","AUGUSTINUS",50000,"","Dans","Kunst og Kultur","Kitt Johnson X-act","","","","","",317,317,2016,339,"1","2024-10-29T10:51:43.876455Z",318,7.921,"Culture","2024-10-29T10:51:43.876493Z"
"","Udgivelse af bogen ""Opera i guldalderens København"".","AUGUSTINUS",100000,"","Litteratur","Kunst og Kultur","Henrik Engelbrecht","","","","","",351,351,2016,1786,"1","2024-11-01T14:55:11.209044Z",352,1.449,"Culture","2024-11-01T14:55:11.209088Z"
"","Støtte til realiseringen og udgivelsen af antologien 'Perspektiver på dansk populærmusikkultur efter 2000'.","AUGUSTINUS",75000,"","Litteratur","Kunst og Kultur","Rytmisk Musikkonservatorium","","","","","",354,354,2016,1412,"1","2024-10-31T13:54:41.160060Z",355,3.616,"Culture","2024-10-31T13:54:41.160100Z"
"","Udgivelse af en bog om Firenze, skrevet af forfatteren, kunsthistorikeren Mogens Nykjær.","AUGUSTINUS",40000,"","Litteratur","Kunst og Kultur","Gyldendal A/S - Skønlitterær afdeling","","","","","",373,373,2016,726,"1","2024-10-30T13:38:32.685610Z",374,5.323,"Culture","2024-10-30T13:38:32.685650Z"
"","Udgivelse af bogen ""Berørt af Huntingtons Sygdom - Livsfortællinger og psykologiske betragtninger"".","AUGUSTINUS",20000,"","Litteratur","Kunst og Kultur","Bogforlaget Frydenlund","","","","","",395,395,2016,1109,"1","2024-10-31T08:47:09.135585Z",396,5.334,"Culture","2024-10-31T08:47:09.135610Z"
"","Gennemførelse af Pilotprojekt Fase 2: Copenhagen Contemporary, Københavns nye kunstcenter for international installationskunst.","AUGUSTINUS",1000000,"","Kunstudstillinger og design","Kunst og Kultur","Copenhagen Contemporay","","","","","",402,402,2016,1163,"1","2024-10-31T09:21:48.707973Z",403,3.804,"Culture","2024-10-31T09:21:48.707997Z"
"","Dækninger af udgifter til AFRICA REFRAMED, fotoudstilling.","AUGUSTINUS",50000,"","Kunstudstillinger og design","Kunst og Kultur","DGI-byen","","","","","",419,419,2016,631,"1","2024-10-30T12:16:38.138571Z",420,4.134,"Culture","2024-10-30T12:16:38.138612Z"
"","Afgangsudstilling: Der søges midler til dækning af transport af værker, udstillingsafgifter samt fremstilling af et udstillingskatalog, for derved at gøre afgangsudstillingen 2016 tilgængelig for et publikum på Clay, Glasmuseet Ebeltoft og Rundetårn.","AUGUSTINUS",40000,"","Kunstudstillinger og design","Kunst og Kultur","Det Kongelige Danske Kunstakademis Skoler for Arki","","","","","",424,424,2016,154,"1","2024-10-28T13:40:18.594972Z",425,3.536,"Culture","2024-10-28T13:40:18.595015Z"
"","Arkitektskolen Aarhus' deltagelse i Milan Design Week 2016 med en soloudstilling.","AUGUSTINUS",25000,"","Kunstudstillinger og design","Kunst og Kultur","Arkitektskolen Aarhus","","","","","",431,431,2016,1597,"1","2024-11-01T12:25:56.695683Z",432,3.541,"Culture","2024-11-01T12:25:56.695710Z"
"","Ansøgning om støtte til erhvervelse af kunstværker til museets samling.","AUGUSTINUS",20000000,"","Museer og kulturarv","Kunst og Kultur","Louisiana Museum of Modern Art","","","","","",436,436,2016,99,"1","2024-10-28T13:23:16.856094Z",437,488.802,"Culture","2024-10-28T13:23:16.856118Z"
"","Realisering af udstillingen ”Théodore Rousseau: Unruly Nature” Ny Carlsberg Glyptotek, 13.10.2016 -
17.1. 2017.","AUGUSTINUS",2400000,"","Museer og kulturarv","Kunst og Kultur","Ny Carlsberg Glyptotek","","","","","",444,444,2016,1949,"1","2024-11-04T11:18:42.645529Z",445,4.78,"Culture","2024-11-04T11:18:42.645556Z"
"","Rekonstruktion af Ellingåskibet - et missing link mellem vikingetidens og middelalderens skibe.","AUGUSTINUS",500000,"","Museer og kulturarv","Kunst og Kultur","Middelaldercentret","","","","","",461,461,2016,1145,"1","2024-10-31T09:16:02.946605Z",462,4.346,"Culture","2024-10-31T09:16:02.946648Z"
"","Erhvervelse af dronning Charlotte Amalies agatskål med kronede navnetræk i emalje på guld.","AUGUSTINUS",500000,"","Museer og kulturarv","Kunst og Kultur","Kongernes Samling - Rosenborg og Amalienborg","","","","","",463,463,2016,59,"1","2024-10-24T13:11:02.404850Z",464,25.743,"Culture","2024-10-24T13:11:02.404882Z"
"","Gennemførelse af to udstillinger på Faaborg Museum: ”Johannes Larsen og japansk træsnitkunst” om Larsens japanisme, og ”Johannes Larsen. Fugle på træk gennem kunst og lyrik” om bogværket ”Trækfuglene”.","AUGUSTINUS",200000,"","Museer og kulturarv","Kunst og Kultur","Faaborg Museum for Fynsk Malerkunst","","","","","",486,486,2016,480,"1","2024-10-29T13:53:18.870204Z",487,3.158,"Culture","2024-10-29T13:53:18.870249Z"
"","Gennemførelse af en fuldstændig overfladebehandling på kedel, kedelbeklædning, førerhus, hjul, undervogn til lokomotiv og tender, samt tenderkasse.","AUGUSTINUS",50000,"","Museer og kulturarv","Kunst og Kultur","Limfjordsbanen","","","","","",503,503,2016,1435,"1","2024-10-31T14:28:59.537232Z",504,4.496,"Culture","2024-10-31T14:28:59.537275Z"
"","Afholdelse af den landsdækkende - Dansk Mølledag 2016.","AUGUSTINUS",30000,"","Museer og kulturarv","Kunst og Kultur","Dansk Møllerforening","","","","","",508,508,2016,822,"1","2024-10-30T14:15:41.460937Z",509,3.244,"Culture","2024-10-30T14:15:41.461526Z"
"","Restaurering og istandsættelse Huul Mølle med henblik på at vedligeholde og bevarer Huul Mølle i Vokslev.","AUGUSTINUS",200000,"","Bevaring af bygningsværker","Kunst og Kultur","Huul Møllelaug","","","","","",520,520,2016,1215,"1","2024-10-31T09:50:51.600281Z",521,30.583,"Culture","2024-10-31T09:50:51.600322Z"
"","Gennemførelse af et forskningsprojekt der omhandler nyresygdom.","AUGUSTINUS",200000,"","Sygdomsforskning","Viden og Uddannelse","Aarhus University, Dept Biomedicine","","","","","",605,605,2016,346,"1","2024-10-29T10:57:19.062652Z",606,5.656,"Research and Science","2024-10-29T10:57:19.062692Z"
"","Gennemførelse af forskningsprojekt omhandlende Alzheimers sygdom.","AUGUSTINUS",200000,"","Sygdomsforskning","Viden og Uddannelse","Syddansk Universitet, Inst. for Molekylær Medicin","","","","","",606,606,2016,1612,"1","2024-11-01T12:27:40.479859Z",607,1.695,"Research and Science","2024-11-01T12:27:40.479896Z"
"","Gennemførsel af forskningsprojekt omhandlende HIV infektion mhp. identifikation af biomarkører, der kan forudsige immunologisk kontrol af HIV.","AUGUSTINUS",100000,"","Sygdomsforskning","Viden og Uddannelse","Aarhus Universitetshospital, Skejby, Infektionsmedicinsk afd.","","","","","",644,644,2016,505,"1","2024-10-29T14:21:11.249460Z",645,3.802,"Research and Science","2024-10-29T14:21:11.249499Z"
"","At undersøge, hvorvidt oophorektomi er forbundet med en øget forekomst af en række sygdomme inklusive diabetes, kardiovaskulær sygdom samt infektionsrisiko, og hvorvidt hormonterapi (HT) efter oophorektomi kan mindske risikoen for sygdom.","AUGUSTINUS",44535,"","Sygdomsforskning","Viden og Uddannelse","Rigshopitalet, CIM/CFAS","","","","","",659,659,2016,1503,"1","2024-11-01T10:35:15.576899Z",660,10.113,"Research and Science","2024-11-01T10:35:15.576938Z"
"","Gennemførelse af Psykiatrifondens arbejde.","AUGUSTINUS",300000,"","Sociale formål","Sociale Indsatser","Psykiatrifonden","","","","","",671,672,2016,932,"1","2024-10-30T15:00:43.065334Z",672,6.396,"Social Purpose","2024-10-30T15:00:43.065368Z"
"","Gennemførelse af 11 sommerlejre og 3 julelejre for udsatte børn og unge. Især fra familier ramt af alkoholmisbrug.","AUGUSTINUS",30000,"","Sociale formål","Sociale Indsatser","Blå Kors Danmark","","","","","",689,690,2016,479,"1","2024-10-29T13:53:15.503670Z",690,415.559,"Social Purpose","2024-10-29T13:53:15.503693Z"
"","Dækning af udgifter til Transmogriffens drift i 2017.","AUGUSTINUS",25000,"","Sociale formål","Sociale Indsatser","Transmogriffen","","","","","",697,698,2016,301,"1","2024-10-28T14:51:44.206454Z",698,6.473,"Social Purpose","2024-10-28T14:51:44.206495Z"
"","Udviklingsmidler til forankring af Orgelklubben.","AUGUSTINUS",1050000,"","Musik","Kunst og Kultur","Orgelklubben","","","","","",722,723,2017,842,"1","2024-10-30T14:21:01.356414Z",723,21.14,"Culture","2024-10-30T14:21:01.356440Z"
"","Udviklingsmidler til markedsføring hos agenturer, Beethoven Zoom, bestilling af nye værker og Kammermusik for Børn.","AUGUSTINUS",603850,"","Musik","Kunst og Kultur","Trio con Brio Copenhagen","","","","","",728,729,2017,1773,"1","2024-11-01T14:52:11.013979Z",729,3.53,"Culture","2024-11-01T14:52:11.014025Z"
"","Udviklingsmidler til 4 indspilningsprojekter, 1 års kunstnerisk fordybelse, startsum til agenturer og 3-årig vedligeholdelse af instrument.","AUGUSTINUS",568000,"","Musik","Kunst og Kultur","Toke Møldrup","","","","","",729,730,2017,156,"1","2024-10-28T13:40:36.943262Z",730,7.125,"Culture","2024-10-28T13:40:36.943302Z"
"","Gennemførelse af Late Summer Festival 2017.","AUGUSTINUS",50000,"","Musik","Kunst og Kultur","Musikforeningen KLANGHJULET","","","","","",772,773,2017,798,"1","2024-10-30T14:11:44.952484Z",773,2.743,"Culture","2024-10-30T14:11:44.952524Z"
"","Afholdelse af The Carl Nielsen Masterclass 2017 - et kursus for unge, klassiske musiktalenter.","AUGUSTINUS",30000,"","Musik","Kunst og Kultur","The Carl Nielsen Masterclass","","","","","",836,837,2017,257,"1","2024-10-28T14:39:50.037632Z",837,3.532,"Culture","2024-10-28T14:39:50.037659Z"
"","Støtte til koncertrække i Litteraturhuset KBH  i 2018, hvor unge professionelle musikere inviteres til at vise, hvad små ensembler kan have at byde på.","AUGUSTINUS",30000,"","Musik","Kunst og Kultur","Litteraturhuset KBH","","","","","",860,861,2017,1312,"1","2024-10-31T10:57:52.272185Z",861,2.004,"Culture","2024-10-31T10:57:52.272213Z"
"","Udviklingsmidler til studierejser til internationale violinmestre.","AUGUSTINUS",30000,"","Musik","Kunst og Kultur","Kirstine Schneider","","","","","",861,862,2017,1734,"1","2024-11-01T14:35:45.110582Z",862,8.963,"Culture","2024-11-01T14:35:45.110623Z"
"","Realisering af Vendsyssel Festival sæson 47 i august 2017.","AUGUSTINUS",25000,"","Musik","Kunst og Kultur","Vendsyssel Festival","","","","","",862,863,2017,1586,"1","2024-11-01T12:25:10.119653Z",863,4.586,"Culture","2024-11-01T12:25:10.119692Z"
"","Støtte til Enghave Baroks virke i 2017.","AUGUSTINUS",25000,"","Musik","Kunst og Kultur","Enghave Barok","","","","","",871,872,2017,568,"1","2024-10-29T14:36:07.747372Z",872,5.737,"Culture","2024-10-29T14:36:07.747404Z"
"","Gennemførelse af ungdomssymforniorkesteret PRESTOs koncertrejse til Estland 28-07-2017 til 04-08- 2017.","AUGUSTINUS",20000,"","Musik","Kunst og Kultur","Køge Musikskole","","","","","",907,908,2017,902,"1","2024-10-30T14:53:25.389873Z",908,5.631,"Culture","2024-10-30T14:53:25.389898Z"
"","Gennemførelse af Fringe Jazz Fest - New Orleans sub-festival under CPH Jazz Festival i juli 2017.","AUGUSTINUS",20000,"","Musik","Kunst og Kultur","JBL Music","","","","","",909,910,2017,641,"1","2024-10-30T12:17:24.983981Z",910,3.713,"Culture","2024-10-30T12:17:24.984020Z"
"","Afholdelse af koncertvirksomhed i sæsonen 2017/2018.","AUGUSTINUS",20000,"","Musik","Kunst og Kultur","Fuglsang Musikforening","","","","","",930,931,2017,1460,"1","2024-10-31T14:32:52.900155Z",931,2.561,"Culture","2024-10-31T14:32:52.900195Z"
"","Gennemførelse af 2 opførelser af J. S. Bachs Markuspassion med Jægersborg Consort i april 2017.","AUGUSTINUS",15000,"","Musik","Kunst og Kultur","Jægersborg Consort","","","","","",939,940,2017,1568,"1","2024-11-01T12:15:03.242582Z",940,945.407,"Culture","2024-11-01T12:15:03.242620Z"
"","Deltagelse i international korkonkurrence i juli 2017 i Grækenland.","AUGUSTINUS",15000,"","Musik","Kunst og Kultur","Sct. Peders Ungdomskor","","","","","",947,948,2017,1860,"1","2024-11-01T16:28:04.351726Z",948,4.206,"Culture","2024-11-01T16:28:04.351765Z"
"","Deltagelse i konkurrence i Osaka, Japan i maj 2017.","AUGUSTINUS",12000,"","Musik","Kunst og Kultur","Ventus","","","","","",961,962,2017,210,"1","2024-10-28T14:30:45.460142Z",962,60.283,"Culture","2024-10-28T14:30:45.460182Z"
"","Supplerende støtte til organisering og afholdelse af Det Frie Felts Festival 2018.","AUGUSTINUS",40000,"","Teater og skuespil","Kunst og Kultur","Foreningen bag Det Frie Felts Festival","","","","","",1045,1046,2017,1050,"1","2024-10-31T07:47:46.416260Z",1046,53.48,"Culture","2024-10-31T07:47:46.416305Z"
"","Støtte til projektet ""GENERATOR - Master platform of Choreography"". Et treårigt udviklingsrum for koreografer der udforsker, udfordrer og afsøger nye bevægelsesterritorier.","AUGUSTINUS",750000,"","Dans","Kunst og Kultur","Dansk Danseteater","","","","","",1051,1052,2017,455,"1","2024-10-29T13:24:27.534287Z",1052,7.908,"Culture","2024-10-29T13:24:27.534314Z"
"","Gennemførelse af Verdensballettens 10-års jubilæumsforestilling i sommeren 2017.","AUGUSTINUS",100000,"","Dans","Kunst og Kultur","Verdensballet i Danmark","","","","","",1056,1057,2017,21,"1","2024-10-24T12:24:29.584977Z",1057,5.23,"Culture","2024-10-24T12:24:29.585027Z"
"","Udviklingsmidler til studierejser, deltagelse i sommerskoler og studier hos internationale operamestre.","AUGUSTINUS",137000,"","Musikdramatik, opera","Kunst og Kultur","Martin Vilbrand","","","","","",1081,1082,2017,1737,"1","2024-11-01T14:35:58.558170Z",1082,4.982,"Culture","2024-11-01T14:35:58.558212Z"
"","Produktion og opførelse af Händels opera ""Alcina"" i et samarbejde mellem Operaakademiet og Ensemble Storstrøm i marts/april 2018.","AUGUSTINUS",50000,"","Musikdramatik, opera","Kunst og Kultur","Ensemble Storstrøm","","","","","",1087,1088,2017,763,"1","2024-10-30T13:55:10.992424Z",1088,7.593,"Culture","2024-10-30T13:55:10.992449Z"
"","Støtte til gennemførelse af operaaftenen ""Watch Out"" med nyskrevne operaer fra begge sider af Øresund.","AUGUSTINUS",40000,"","Musikdramatik, opera","Kunst og Kultur","Egnsteatret Undergrunden","","","","","",1094,1095,2017,390,"1","2024-10-29T11:18:40.720141Z",1095,4.846,"Culture","2024-10-29T11:18:40.720185Z"
"","Realisering af landsdækkende turné med ""Martyriet"" - en kammeropera om Kaj Munks liv og død.","AUGUSTINUS",40000,"","Musikdramatik, opera","Kunst og Kultur","Cumulus Teatret","","","","","",1097,1098,2017,133,"1","2024-10-28T13:34:03.895475Z",1098,4.908,"Culture","2024-10-28T13:34:03.895521Z"
"","Støtte til udgivelse af værk om forholdet mellem Danmark og Færøerne i den turbulente tid i 1850'erne.","AUGUSTINUS",200000,"","Litteratur","Kunst og Kultur","Charlotte Langkilde","","","","","",1113,1114,2017,44,"1","2024-10-24T12:58:19.272017Z",1114,46.024,"Culture","2024-10-24T12:58:19.272045Z"
"","Genudgivelse på dansk af centrale kristne hovedværker.","AUGUSTINUS",40000,"","Litteratur","Kunst og Kultur","Forlaget Visdomsbøgerne","","","","","",1145,1146,2017,298,"1","2024-10-28T14:51:15.786898Z",1146,18.127,"Religion","2024-10-28T14:51:15.786939Z"
"","Gennemførelse af en måneds ophold i Italien med henblik på udarbejdelse af en monografi om Dario Fo (arbejdstitel: ""Fænomenet Fo"").","AUGUSTINUS",15000,"","Litteratur","Kunst og Kultur","Bent Holm","","","","","",1167,1168,2017,499,"1","2024-10-29T14:20:47.087416Z",1168,6.424,"Culture","2024-10-29T14:20:47.087457Z"
"","Publikationsstøtte til ""Uden for det hele og på syre – maleren Erik Liljenberg"" af Lars Movin. Udgivelsen planlagt til 2017.","AUGUSTINUS",15000,"","Litteratur","Kunst og Kultur","Forlaget Bangsbohave","","","","","",1169,1170,2017,1235,"1","2024-10-31T09:53:57.142328Z",1170,4.595,"Culture","2024-10-31T09:53:57.142362Z"
"","Finansiering af monumentalskulptur af Tomas Saraceno i forbindelse med etablering af nyt kunstcenter, Art Center MonAA på de gamle spritfabrikker i Aalborg.","AUGUSTINUS",7500000,"","Kunstudstillinger og design","Kunst og Kultur","Fonden Art Center MonAA","","","","","",1174,1175,2017,1920,"1","2024-11-01T16:37:09.108504Z",1175,4.18,"Culture","2024-11-01T16:37:09.108545Z"
"","Støtte til realisering af udstillingen: ""Efterfest - en fejring af dansk smykkekunst gennem 65 år"" i Rundetårn 1.12.2018-13.1.2019.","AUGUSTINUS",50000,"","Kunstudstillinger og design","Kunst og Kultur","Rundetaarn","","","","","",1198,1199,2017,1577,"1","2024-11-01T12:19:01.200061Z",1199,5.836,"Culture","2024-11-01T12:19:01.200088Z"
"","Renovering og indretning af indgangsparti, elevator, butiksareal, toiletter og handicapvenlig adgang til Jacob A. Riis Museet i Ribe.","AUGUSTINUS",2000000,"","Museer og kulturarv","Kunst og Kultur","Sydvestjyske Museer","","","","","",1224,1225,2017,385,"1","2024-10-29T11:17:55.152530Z",1225,7.101,"Culture","2024-10-29T11:17:55.152559Z"
"","Erhvervelse af rettigheder til Carl Th. Dreyers væsentligste film.","AUGUSTINUS",500000,"","Museer og kulturarv","Kunst og Kultur","Det Danske Filminstitut","","","","","",1236,1237,2017,68,"1","2024-10-28T12:58:35.041121Z",1237,10.068,"Culture","2024-10-28T12:58:35.041149Z"
"","Gennemførelse af særudstillingen ""Bacon, Freud and the London Painters"", som er et unikt samarbejde mellem ARoS og Tate, London fra oktober 2017 til februar 2018.","AUGUSTINUS",500000,"","Museer og kulturarv","Kunst og Kultur","ARoS Aarhus Kunstmuseum","","","","","",1239,1240,2017,1384,"1","2024-10-31T12:27:31.983715Z",1240,3.835,"Culture","2024-10-31T12:27:31.983743Z"
"","Gennemførelse af interaktiv digital nøgle til danske rovbiller (Staphylinidae).","AUGUSTINUS",282800,"","Museer og kulturarv","Kunst og Kultur","Statens Naturhistoriske Museum","","","","","",1255,1256,2017,1636,"1","2024-11-01T12:40:38.499734Z",1256,17.063,"Nature Preservation and environment","2024-11-01T12:40:38.499774Z"
"","Udgivelse af bog om lensgreve Mogens Frijs.","AUGUSTINUS",100000,"","Museer og kulturarv","Kunst og Kultur","Moesgaard Museum","","","","","",1266,1267,2017,1463,"1","2024-10-31T14:33:09.457858Z",1267,3.546,"Culture","2024-10-31T14:33:09.457898Z"
"","Istandsættelse af bevaringsværdige kalkmalerier i Give Kirke.","AUGUSTINUS",351575,"","Kirker og religiøse kulturværdier","Kunst og Kultur","Give Kirke","","","","","",1314,1315,2017,1421,"1","2024-10-31T14:18:37.457954Z",1315,3.618,"Religion","2024-10-31T14:18:37.457980Z"
"","Erhvervelse og etablering af alter-relief udført af Maja Lisa Engelhardt.","AUGUSTINUS",200000,"","Kirker og religiøse kulturværdier","Kunst og Kultur","Ballerup Sogn","","","","","",1318,1319,2017,698,"1","2024-10-30T13:01:21.661650Z",1319,5.717,"Religion","2024-10-30T13:01:21.661697Z"
"","Udgivelse af serien Håndbiblioteket.","AUGUSTINUS",100000,"","Kirker og religiøse kulturværdier","Kunst og Kultur","Det Danske Bibelselskab","","","","","",1322,1323,2017,299,"1","2024-10-28T14:51:23.321450Z",1323,7.349,"Religion","2024-10-28T14:51:23.321498Z"
"","Udarbejdelse af helhedsplan for Ribe Kloster.","AUGUSTINUS",50000,"","Kirker og religiøse kulturværdier","Kunst og Kultur","Ribe Kloster","","","","","",1323,1324,2017,725,"1","2024-10-30T13:38:27.182439Z",1324,9.036,"Religion","2024-10-30T13:38:27.182487Z"
"","Gennemførelse af forskningsprojekt omkring lindring af symtomer relateret til overgangsalderen.","AUGUSTINUS",227180,"","Sygdomsforskning","Viden & Uddannelse","Aarhus Universitet, Institut for Folkesundhed","","","","","",1366,1367,2017,1477,"1","2024-11-01T10:29:43.705172Z",1367,3.709,"Research and Science","2024-11-01T10:29:43.705214Z"
"","Gennemførelse af projekt om fysisk aktivitet, diabetes og hjertesygdom blandt patienter med HIV.","AUGUSTINUS",200000,"","Sygdomsforskning","Viden & Uddannelse","Rigshospitalet, Infektionsmedicinsk Klinik","","","","","",1370,1371,2017,134,"1","2024-10-28T13:34:23.718478Z",1371,19.661,"Research and Science","2024-10-28T13:34:23.718517Z"
"","Gennemførelse af projekt om en særlig gruppe receptorer i hjernen, der er af betydning for kognition.","AUGUSTINUS",100000,"","Sygdomsforskning","Viden & Uddannelse","Københavne Universitet, Inst. for Lægemiddeldesign","","","","","",1405,1406,2017,974,"1","2024-10-30T15:13:26.881757Z",1406,1.774,"Research and Science","2024-10-30T15:13:26.881785Z"
"","Undersøgelse af om måling af biologisk alder er et pålideligt sundhedsredskab og efterfølgende at optimere og afprøve bestemmelsen af dette.","AUGUSTINUS",100000,"","Sygdomsforskning","Viden & Uddannelse","Københavns Universitet, Biomedicinsk Institut","","","","","",1420,1421,2017,1068,"1","2024-10-31T07:49:42.669446Z",1421,11.535,"Health","2024-10-31T07:49:42.669485Z"
"","Gennemførelsen af forskningsprojekt om HIV.","AUGUSTINUS",50000,"","Sygdomsforskning","Viden & Uddannelse","Aarhus Universitetshospital, Klinisk Immunologisk","","","","","",1431,1432,2017,783,"1","2024-10-30T14:02:07.960351Z",1432,4.885,"Research and Science","2024-10-30T14:02:07.960377Z"
